Date,AEE,AEP,AES,ATO,AWK,CEG,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SO,SRE,VST,WEC,XEL
2021-07-26,71.89917755126953,73.19374084472656,19.724613189697266,87.9128646850586,149.6712188720703,,53.129608154296875,22.343833923339844,60.080970764160156,98.39286804199219,86.21334838867188,62.11063766479492,43.80485916137695,70.32821655273438,43.44108200073242,53.41864013671875,27.750839233398438,31.609954833984375,49.81924057006836,67.4365234375,21.411880493164062,35.54584503173828,8.599952697753906,52.096805572509766,68.15904235839844,23.726421356201172,52.986385345458984,55.87241744995117,17.410762786865234,79.51365661621094,58.23847198486328
2021-07-27,73.40192413330078,74.62122344970703,19.97939109802246,89.30860137939453,153.29190063476562,,54.19255065917969,22.643510818481445,61.473175048828125,100.78730010986328,87.68074798583984,63.4290771484375,45.115291595458984,71.78691864013672,44.094078063964844,54.361572265625,28.247135162353516,31.699663162231445,50.77992630004883,68.26951599121094,21.717281341552734,35.93003845214844,8.83583927154541,53.197139739990234,69.33931732177734,24.035860061645508,53.65983200073242,56.697471618652344,17.56572914123535,81.48966979980469,59.21891403198242
2021-07-28,72.71099853515625,74.28730773925781,19.905420303344727,88.64607238769531,153.42697143554688,,53.36962890625,22.617067337036133,60.60102081298828,99.92974853515625,87.09544372558594,62.63970184326172,44.85478591918945,70.78715515136719,43.66292953491211,53.467830657958984,28.091670989990234,31.104324340820312,50.47385787963867,68.26073455810547,21.632450103759766,36.41899108886719,8.993095397949219,52.90089797973633,68.50430297851562,23.910409927368164,53.20255661010742,56.7615966796875,17.748035430908203,79.75009155273438,58.57096481323242
2021-07-29,72.78007507324219,74.41252136230469,19.946514129638672,88.50471496582031,153.7692108154297,,53.44677734375,22.749284744262695,60.417015075683594,100.30332946777344,87.12016296386719,62.58091354370117,45.170555114746094,70.79533386230469,43.69223403930664,53.590824127197266,28.29497528076172,31.03093719482422,50.41651916503906,68.53256225585938,21.563987731933594,36.436458587646484,8.924293518066406,53.38336181640625,68.56852722167969,23.910409927368164,53.59331512451172,56.611976623535156,17.66599464416504,79.86830139160156,58.6476936340332
2021-07-30,72.47782135009766,73.5610580444336,19.599998474121094,87.09131622314453,153.2108612060547,,52.96674346923828,22.440786361694336,59.90493392944336,99.61558532714844,86.6502685546875,61.95106506347656,43.02333068847656,70.69698333740234,43.08110427856445,53.47602844238281,27.984039306640625,31.251117706298828,50.09979248046875,68.3045883178711,21.196033477783203,36.291259765625,8.639266014099121,52.67237854003906,67.74153900146484,23.726421356201172,53.102779388427734,55.851043701171875,17.456340789794922,79.49675750732422,58.18730545043945
2021-08-02,73.24646759033203,73.74468994140625,19.492490768432617,87.93053436279297,155.1382598876953,,53.71250534057617,22.52011489868164,60.28899002075195,99.85330963134766,87.54060363769531,62.56410598754883,43.496978759765625,71.54106903076172,43.35736846923828,53.95978546142578,28.121572494506836,31.365299224853516,50.63050842285156,69.10249328613281,21.50408363342285,36.16805648803711,8.796523094177246,53.20561599731445,67.42530059814453,23.80168914794922,53.277374267578125,56.1075439453125,17.301374435424805,79.96965026855469,58.451602935791016
2021-08-03,73.93739318847656,74.37078857421875,19.781940460205078,88.05420684814453,157.88525390625,,54.209693908691406,22.802165985107422,60.40901184082031,100.30332946777344,87.88684844970703,62.85802459716797,43.72591018676758,71.95081329345703,43.52061462402344,54.42715835571289,28.330854415893555,31.430538177490234,51.34096145629883,69.63734436035156,21.658113479614258,36.64325714111328,8.83583927154541,53.75578308105469,65.65779113769531,23.88532066345215,53.31894302368164,56.41960525512695,17.274028778076172,80.73809814453125,58.57096481323242
2021-08-04,73.62648010253906,74.15374755859375,19.550378799438477,87.79802703857422,158.9390106201172,,54.226837158203125,22.652326583862305,60.385005950927734,100.0146484375,87.98577880859375,62.87485122680664,43.30751419067383,72.25401306152344,43.411781311035156,54.3123664855957,27.96609878540039,31.022769927978516,51.29816436767578,70.03192901611328,21.606775283813477,36.73126220703125,8.52132511138916,53.55263137817383,63.39570236206055,23.77660369873047,53.23581314086914,55.940826416015625,17.237564086914062,80.92388916015625,58.78411102294922
2021-08-05,74.38648223876953,74.84661102294922,20.551050186157227,89.49410247802734,161.8210906982422,,54.55914306640625,23.128292083740234,60.87307357788086,101.32225036621094,88.97502899169922,63.25274658203125,43.599609375,72.95877075195312,44.56290054321289,54.97650909423828,28.504253387451172,31.286436080932617,51.760379791259766,70.5755615234375,21.769363403320312,36.93365478515625,8.147842407226562,54.08589172363281,64.42538452148438,24.136219024658203,53.85936737060547,56.829994201660156,16.654163360595703,81.47278594970703,59.03135299682617
2021-08-06,75.0169448852539,74.5794677734375,20.34430694580078,89.12306213378906,159.82164001464844,,54.61094284057617,23.339828491210938,60.80908203125,101.53450775146484,88.17536926269531,63.42069625854492,43.47330093383789,72.90140533447266,44.40802001953125,54.705936431884766,28.462398529052734,31.171100616455078,52.0428581237793,70.6807861328125,21.73513412475586,38.62325668334961,8.3837251663208,54.05202865600586,65.13888549804688,24.445659637451172,53.7928581237793,56.56924057006836,16.91851806640625,81.32921600341797,58.89494323730469
2021-08-09,75.75104522705078,74.71414947509766,19.988691329956055,89.32626342773438,160.06837463378906,,54.60230255126953,23.392715454101562,60.80908203125,101.80624389648438,87.50762176513672,63.882568359375,43.76538848876953,72.8932113647461,44.71778106689453,54.72232437133789,28.360750198364258,31.1958065032959,51.94869613647461,70.6369400024414,21.59821891784668,38.62325668334961,8.482011795043945,54.026634216308594,65.1226806640625,24.286758422851562,53.917572021484375,56.111820220947266,17.219331741333008,81.3460922241211,58.929046630859375
2021-08-10,75.72516632080078,74.70573425292969,20.129283905029297,89.12306213378906,159.0652313232422,,54.32609176635742,23.463228225708008,61.16110610961914,101.8911361694336,88.12591552734375,64.15972900390625,44.11272430419922,72.86862182617188,45.487972259521484,54.86992263793945,28.444459915161133,31.187570571899414,51.79461669921875,70.61063385009766,21.45274543762207,37.972068786621094,9.042236328125,53.23947525024414,65.13080596923828,24.178037643432617,54.21688461303711,56.321285247802734,16.85470962524414,81.15186309814453,58.57948684692383
2021-08-11,76.13969421386719,75.05927276611328,20.58413314819336,89.34391784667969,158.65853881835938,,54.5418815612793,23.630695343017578,61.553184509277344,102.0439682006836,88.3237533569336,64.76436614990234,45.10739517211914,73.68811798095703,46.03272247314453,55.38649368286133,28.8211727142334,31.443002700805664,52.06853103637695,72.2239990234375,21.70090103149414,37.998470306396484,9.278121948242188,53.772701263427734,65.18753051757812,24.428932189941406,54.56606674194336,56.428157806396484,16.727088928222656,81.41366577148438,58.886409759521484
2021-08-12,75.93241882324219,74.87409973144531,20.766077041625977,88.84040069580078,160.3665771484375,,54.37788772583008,23.57781410217285,61.89722442626953,101.84868621826172,87.93688201904297,64.87352752685547,45.02054977416992,73.42588806152344,45.8975830078125,55.271690368652344,28.949556350708008,31.56659698486328,51.92301559448242,72.77638244628906,21.641002655029297,37.89286422729492,9.081550598144531,54.04355239868164,64.59565734863281,24.320209503173828,54.640907287597656,56.60770034790039,16.763551712036133,81.3013916015625,58.6476936340332
2021-08-13,76.72696685791016,75.49697875976562,20.501434326171875,89.63542175292969,161.69508361816406,,54.774925231933594,23.710018157958984,62.17726516723633,102.14586639404297,88.19480895996094,65.28502655029297,44.99687957763672,74.11425018310547,46.40010070800781,55.837440490722656,29.142425537109375,31.83851432800293,52.273963928222656,73.17095947265625,21.795032501220703,38.41206359863281,8.963608741760254,54.77994155883789,64.68485260009766,24.596195220947266,55.035640716552734,57.1848030090332,16.772668838500977,81.8201675415039,58.86084747314453
2021-08-16,77.39199829101562,76.01045227050781,20.145822525024414,89.28209686279297,164.02670288085938,,55.128814697265625,23.613065719604492,62.77736282348633,101.8911361694336,89.70076751708984,65.71332550048828,45.21791076660156,74.41746520996094,46.56901550292969,56.41139221191406,29.281063079833984,31.995065689086914,52.76186752319336,73.60936737060547,21.94049835205078,37.91046142578125,9.012751579284668,54.86458206176758,64.97673797607422,24.546016693115234,55.74951171875,57.09931182861328,16.389814376831055,82.64508056640625,59.48319625854492
2021-08-17,77.71155548095703,76.21249389648438,19.922529220581055,89.17607116699219,163.9272918701172,,55.47407531738281,23.66594886779785,62.9053955078125,102.15437316894531,89.61758422851562,65.51399230957031,45.46263885498047,74.44204711914062,46.493003845214844,56.55078125,29.148456573486328,31.84674644470215,52.84746551513672,73.61813354492188,21.983287811279297,38.06886291503906,8.973438262939453,54.78840255737305,64.98483276367188,24.53765106201172,55.80830383300781,57.23611068725586,16.544775009155273,82.79815673828125,59.63666534423828
2021-08-18,77.10701751708984,75.54750061035156,19.649620056152344,87.44467163085938,162.56268310546875,,55.085655212402344,23.4088077545166,62.3932991027832,102.01001739501953,89.06842803955078,64.97114562988281,46.23626708984375,73.93397521972656,46.50990676879883,56.468788146972656,29.064077377319336,31.492443084716797,52.573551177978516,74.02147674560547,21.795032501220703,37.86646270751953,8.963608741760254,54.17051696777344,65.01727294921875,24.40384292602539,55.438777923583984,56.68036651611328,16.417160034179688,82.03276062011719,59.10807418823242
2021-08-19,77.35746002197266,76.09463500976562,19.550378799438477,87.13550567626953,164.2707061767578,,55.24965286254883,22.98319435119629,63.257423400878906,102.03546905517578,88.92698669433594,65.0474853515625,45.944183349609375,74.72067260742188,47.20665740966797,56.687774658203125,29.407638549804688,32.08570098876953,52.624900817871094,74.13549041748047,21.82070541381836,37.54966354370117,8.77686882019043,54.390586853027344,64.92809295654297,24.412202835083008,55.74951171875,56.415340423583984,16.22572898864746,82.46649169921875,59.78160858154297
2021-08-20,77.37472534179688,76.66703796386719,20.112743377685547,87.80667877197266,166.37640380859375,,55.94016647338867,23.35560417175293,64.049560546875,103.1478042602539,89.20155334472656,65.26801300048828,46.99410629272461,75.48278045654297,48.39326477050781,57.2331657409668,29.751201629638672,32.20930099487305,53.224090576171875,75.65235900878906,22.000404357910156,38.20085906982422,9.120864868164062,54.97461700439453,64.99295043945312,24.872180938720703,56.53898620605469,57.00953674316406,16.526546478271484,82.99374389648438,60.19934844970703
2021-08-23,75.61287689208984,75.85895538330078,20.054853439331055,86.96214294433594,164.6593017578125,,55.30145263671875,23.213735580444336,63.19340896606445,102.86759948730469,88.05335998535156,64.28411102294922,46.70201873779297,74.6715087890625,48.139896392822266,56.94395065307617,29.570377349853516,31.97858428955078,52.18836975097656,74.00394439697266,21.683786392211914,38.50885772705078,8.953781127929688,54.45830535888672,63.97947311401367,24.412202835083008,55.993072509765625,56.38113021850586,16.43539047241211,81.46297454833984,58.818199157714844
2021-08-24,75.25878143310547,75.10977935791016,20.013500213623047,87.22885131835938,163.21336364746094,,54.84398651123047,22.91225814819336,62.84135437011719,102.30720520019531,87.48757934570312,63.631011962890625,46.5362434387207,74.47481536865234,48.03010559082031,56.58861541748047,29.479957580566406,31.83027458190918,51.92301559448242,73.77595520019531,21.546876907348633,38.67606735229492,9.09138011932373,54.00970458984375,63.047061920166016,24.445659637451172,55.20360565185547,55.987857818603516,16.818248748779297,80.32341003417969,58.22142791748047
2021-08-25,75.43151092529297,75.19396209716797,20.063121795654297,86.66876983642578,163.46640014648438,,54.930294036865234,22.805858612060547,62.85735321044922,102.55342864990234,87.6789321899414,63.843074798583984,46.08627700805664,74.04048919677734,48.05121612548828,56.902626037597656,29.467906951904297,32.1351432800293,51.83741760253906,74.11793518066406,21.41851806640625,40.12806701660156,9.101208686828613,54.26362991333008,63.07136154174805,24.437292098999023,55.321197509765625,56.25288772583008,17.319604873657227,80.50199890136719,58.23847198486328
2021-08-26,75.67333221435547,75.1266098022461,19.740589141845703,85.96646118164062,163.77365112304688,,55.10293197631836,22.495513916015625,62.76935577392578,102.30720520019531,87.23797607421875,63.80065155029297,45.51789093017578,73.99134063720703,48.004764556884766,57.109214782714844,29.401609420776367,31.756105422973633,51.863101959228516,73.82283782958984,21.196033477783203,39.740867614746094,8.963608741760254,53.992774963378906,62.19572830200195,24.311843872070312,55.547943115234375,56.33838653564453,16.85470962524414,80.26387023925781,58.22994613647461
2021-08-27,76.018798828125,75.16029357910156,20.005226135253906,86.57096862792969,162.95127868652344,,55.37913131713867,22.717185974121094,62.56132888793945,102.44306182861328,87.08821105957031,64.15689849853516,45.41526794433594,73.90117645263672,47.1644287109375,56.44812774658203,29.588459014892578,31.780834197998047,52.07708740234375,73.47052764892578,21.23881721496582,39.66166305541992,8.963608741760254,54.31440353393555,62.682193756103516,24.437292098999023,55.421966552734375,56.36830139160156,17.027908325195312,80.28937530517578,58.57096481323242
2021-08-30,76.4247055053711,75.43807983398438,19.930803298950195,86.65100860595703,165.0027313232422,,55.65534210205078,22.504379272460938,62.64934158325195,102.23078155517578,87.18806457519531,64.20777893066406,45.41526794433594,74.61415100097656,46.18051528930664,56.11760330200195,29.68489646911621,31.84674644470215,52.11988830566406,73.94615173339844,21.18747329711914,39.38886260986328,8.855493545532227,54.373653411865234,62.01732635498047,24.40384292602539,55.22040557861328,56.346927642822266,17.182870864868164,80.80813598632812,58.85231018066406
2021-08-31,75.75968933105469,75.39596557617188,19.740589141845703,86.68655395507812,164.70449829101562,,55.353233337402344,22.247234344482422,62.28130340576172,102.17982482910156,87.07988739013672,63.99574661254883,45.659996032714844,74.35189819335938,46.70836639404297,56.56380844116211,29.5462703704834,32.02802276611328,52.03429412841797,73.98139190673828,21.093341827392578,40.189666748046875,9.012751579284668,54.11973190307617,62.349769592285156,24.546016693115234,55.20360565185547,56.58205032348633,17.40164566040039,80.34890747070312,58.613590240478516
2021-09-01,76.65789794921875,76.1788101196289,19.947341918945312,87.34441375732422,166.67459106445312,,56.147335052490234,22.619651794433594,63.19340896606445,103.05441284179688,88.29464721679688,64.83544921875,45.97575759887695,75.11402130126953,47.51914596557617,56.70429992675781,29.895849227905273,32.489444732666016,52.76186752319336,75.1705322265625,21.57254409790039,39.94326400756836,9.052066802978516,54.77994155883789,63.063262939453125,25.12308120727539,55.83349609375,57.11213684082031,17.456340789794922,81.55652618408203,59.466156005859375
2021-09-02,76.84790802001953,76.540771484375,20.286415100097656,87.38887786865234,168.8616180419922,,56.63068771362305,22.85019302368164,63.62895202636719,103.69969940185547,88.7356185913086,65.42070007324219,46.67833709716797,75.90072631835938,48.017433166503906,56.976993560791016,30.197221755981445,32.89320373535156,53.11281204223633,76.17469024658203,21.718015670776367,40.189666748046875,9.120864868164062,54.74608612060547,63.45243835449219,25.44087791442871,56.144248962402344,57.56099319458008,17.574838638305664,82.3219223022461,59.95211410522461
2021-09-03,76.0965347290039,76.10306549072266,20.37738037109375,86.67766571044922,167.32533264160156,,56.06964874267578,23.00092887878418,63.217620849609375,102.52796173095703,87.92854309082031,64.7166976928711,46.29941940307617,75.38442993164062,47.53181838989258,56.60513687133789,30.028459548950195,32.62129592895508,52.61635208129883,75.47882080078125,21.44418716430664,39.97847366333008,8.993095397949219,54.28901672363281,62.5767936706543,25.16489601135254,55.657135009765625,57.03091049194336,17.41987419128418,81.70960998535156,59.5087776184082
2021-09-07,74.86244201660156,74.8404312133789,20.220252990722656,85.45973205566406,166.2860107421875,,54.826717376708984,22.87679100036621,61.71742248535156,101.2798080444336,85.86511993408203,63.512264251708984,46.28363800048828,73.53240966796875,47.5064697265625,55.555686950683594,29.841602325439453,31.698440551757812,51.14408874511719,74.89746856689453,21.15324592590332,39.485660552978516,9.258464813232422,53.73444366455078,61.44168472290039,25.181621551513672,55.58994674682617,56.517940521240234,17.173751831054688,79.99172973632812,57.888916015625
2021-09-08,76.85262298583984,76.33032989501953,19.972148895263672,86.81103515625,170.5787353515625,,55.86249923706055,23.47087860107422,62.78208923339844,103.02044677734375,87.6373519897461,65.24256896972656,46.64677047729492,75.302490234375,48.49039077758789,56.53076171875,30.35393714904785,32.08570098876953,52.28252410888672,76.13945770263672,21.478418350219727,39.872867584228516,9.160179138183594,54.69002151489258,61.895729064941406,25.47433090209961,56.53058624267578,57.28313064575195,17.501914978027344,81.99874877929688,59.09102249145508
2021-09-09,76.3746337890625,76.09463500976562,19.897720336914062,85.5130844116211,169.48521423339844,,55.620811462402344,23.550678253173828,63.282142639160156,102.3751449584961,87.0466079711914,64.78455352783203,46.30731201171875,73.59796905517578,47.69227600097656,56.34897994995117,30.27557945251465,31.616037368774414,51.957252502441406,75.61094665527344,21.42707633972168,39.36246109008789,9.199493408203125,54.02452850341797,61.247093200683594,25.249649047851562,56.42140197753906,57.201908111572266,17.22844696044922,81.6330795288086,59.05691909790039
