Date,ADM,BF.B,BG,CAG,CHD,CL,CLX,COST,CPB,DG,DLTR,EL,GIS,HRL,HSY,K,KDP,KHC,KMB,KO,KR,KVUE,LW,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TGT,TSN,WMT
2021-07-26,50.75668716430664,,65.30845642089844,26.554533004760742,81.43284606933594,74.64107513427734,156.549560546875,400.33306884765625,36.54119873046875,211.46749877929688,100.58999633789062,309.1679382324219,48.8029899597168,39.849937438964844,157.3712158203125,,31.62371063232422,30.848949432373047,111.57010650634766,49.21471405029297,35.768959045410156,,69.27865600585938,56.791847229003906,76.21501159667969,48.0,32.349876403808594,134.06903076171875,123.36990356445312,78.40294647216797,110.06317901611328,205.71055603027344,64.23055267333984,42.98222351074219,224.17762756347656,60.97865295410156,44.60371398925781
2021-07-27,51.1127815246582,,65.72798919677734,26.53127670288086,82.00753784179688,74.51683807373047,155.16622924804688,401.3830261230469,36.68898010253906,211.63302612304688,99.0,305.88446044921875,48.99221420288086,40.21251678466797,158.46751403808594,,31.150009155273438,30.6538028717041,112.51981353759766,49.38721466064453,35.984718322753906,,59.908565521240234,57.133460998535156,76.54529571533203,47.59000015258789,32.472190856933594,134.8115997314453,123.87114715576172,79.0362548828125,111.16641998291016,207.1196746826172,64.46707916259766,42.5735969543457,222.0291748046875,61.42367935180664,44.60684585571289
2021-07-28,50.93040466308594,,68.6210708618164,26.17462730407715,81.30096435546875,73.83332824707031,154.21568298339844,399.37762451171875,36.204612731933594,211.55020141601562,99.02999877929688,306.8955078125,48.391639709472656,39.5548095703125,156.04502868652344,,30.99211311340332,30.380592346191406,111.39665985107422,48.93871307373047,35.984718322753906,,60.846473693847656,55.53059387207031,75.60801696777344,47.025001525878906,32.35668182373047,133.5739288330078,122.03307342529297,78.32379913330078,110.12213134765625,207.174560546875,64.51964569091797,42.16497039794922,221.22142028808594,61.28675079345703,44.425472259521484
2021-07-29,51.76417922973633,,69.5825424194336,26.081584930419922,81.8756332397461,74.1351318359375,155.1747283935547,403.02618408203125,36.0732536315918,214.2537078857422,99.0999984741211,309.41845703125,48.46568298339844,39.56324768066406,157.8309326171875,,30.65877914428711,30.427427291870117,112.46197509765625,49.20608139038086,36.604984283447266,,61.238033294677734,55.46928024291992,75.20632934570312,47.290000915527344,33.02256774902344,133.84706115722656,122.66630554199219,79.39249420166016,110.6526870727539,205.4818115234375,65.77237701416016,42.06282424926758,224.86512756347656,61.552066802978516,44.48175811767578
2021-07-30,51.868408203125,,67.85192108154297,25.96529197692871,81.56474304199219,70.56685638427734,153.51976013183594,407.2338562011719,35.892642974853516,213.9226837158203,99.79000091552734,309.6409606933594,48.42454528808594,39.107913970947266,158.1492156982422,,30.88685417175293,30.029333114624023,112.08212280273438,49.188846588134766,36.58700942993164,,60.800960540771484,55.4079704284668,75.13490295410156,47.15999984741211,32.64205551147461,133.966552734375,125.08478546142578,79.23416900634766,110.41687774658203,205.2713623046875,65.0014877319336,41.62014389038086,224.3408966064453,61.15835952758789,44.57870864868164
2021-08-02,51.55573272705078,,67.03030395507812,26.12416648864746,80.64152526855469,70.60237884521484,153.78285217285156,406.4757385253906,35.55604934692383,213.79396057128906,98.87999725341797,303.9273681640625,48.84412384033203,39.28498840332031,157.7336883544922,,30.16753387451172,30.115196228027344,111.2149658203125,49.05946350097656,36.86567687988281,,61.3290901184082,55.58314895629883,75.06350708007812,46.68000030517578,32.431419372558594,133.42884826660156,124.7769775390625,79.18665313720703,110.56847381591797,203.85311889648438,64.10792541503906,41.926612854003906,221.06668090820312,61.40656661987305,44.47550582885742
2021-08-03,51.929203033447266,,67.51106262207031,25.920679092407227,80.20816040039062,70.49584197998047,139.23629760742188,412.30389404296875,35.58888244628906,216.13880920410156,99.88999938964844,303.80682373046875,48.86057662963867,39.040462493896484,159.00682067871094,,30.544740676879883,30.396207809448242,112.01602172851562,49.09396743774414,38.31298065185547,,60.700782775878906,55.5130729675293,74.79570007324219,46.52000045776367,32.472190856933594,133.72756958007812,126.59742736816406,79.51124572753906,111.84858703613281,202.52630615234375,63.56479263305664,41.8244514465332,225.3291778564453,61.372310638427734,44.975868225097656
2021-08-04,51.025936126708984,,65.79792785644531,25.3493595123291,78.91751098632812,69.45731353759766,140.55172729492188,412.2755126953125,34.85001754760742,216.00082397460938,97.7300033569336,302.17425537109375,47.41261672973633,38.41648864746094,157.5126953125,,30.149993896484375,28.835020065307617,110.41392517089844,48.38671112060547,37.68370819091797,,59.5443229675293,54.059120178222656,74.25118255615234,46.005001068115234,31.955785751342773,131.4912567138672,125.26068115234375,78.7591781616211,108.49674987792969,200.74209594726562,62.85519790649414,40.879512786865234,223.89401245117188,60.21693420410156,44.66938400268555
2021-08-05,51.069358825683594,,65.51821899414062,25.25544548034668,78.898681640625,70.03427124023438,138.81192016601562,419.9991455078125,34.66939926147461,216.837646484375,98.94000244140625,304.8735046386719,47.37147521972656,38.38275146484375,158.03424072265625,,30.228939056396484,28.835020065307617,110.1744384765625,48.73171615600586,37.638771057128906,,58.65327453613281,54.18174362182617,74.31365203857422,45.974998474121094,32.18001174926758,131.71315002441406,125.32221984863281,78.83834075927734,108.15144348144531,200.8518829345703,64.40577697753906,41.11787033081055,224.64169311523438,60.028663635253906,45.49810028076172
2021-08-06,52.36346435546875,,66.91669464111328,25.63892936706543,78.6725845336914,69.79460906982422,137.98020935058594,416.62530517578125,34.726871490478516,217.15028381347656,98.7699966430664,305.0033264160156,47.610069274902344,38.34902572631836,157.892822265625,,30.079816818237305,29.037982940673828,110.04231262207031,48.852455139160156,37.53089904785156,,59.47576904296875,54.10292053222656,74.4743423461914,48.48500061035156,32.1732177734375,131.73020935058594,124.36365509033203,78.53753662109375,107.71350860595703,200.2022247314453,64.75618743896484,41.798912048339844,223.51589965820312,60.86738967895508,45.41680145263672
