Date,ADP,ALLE,AME,AOS,AXON,BA,BLDR,BR,CARR,CAT,CHRW,CMI,CPRT,CSX,CTAS,DAL,DAY,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,FTV,GD,GE,GEV,GNRC,GWW,HII,HON,HUBB,HWM,IEX,IR,ITW,J,JBHT,JCI,LDOS,LHX,LII,LMT,LUV,MAS,MMM,NDSN,NOC,NSC,ODFL,OTIS,PAYC,PAYX,PCAR,PH,PNR,PWR,ROK,ROL,RSG,RTX,SNA,SWK,TDG,TT,TXT,UAL,UBER,UNP,UPS,URI,VLTO,VRSK,WAB,WM,XYL
2021-07-26,184.83013916015625,129.05201721191406,132.85662841796875,63.6767463684082,182.0399932861328,225.85000610351562,44.0099983215332,157.8441925048828,47.987701416015625,193.64031982421875,82.48162078857422,210.36294555664062,36.48749923706055,30.73388671875,92.78355407714844,40.222084045410156,,332.84637451171875,153.1536865234375,245.57760620117188,88.9476547241211,144.0826416015625,122.3331527709961,24.223634719848633,217.16709899902344,50.88356018066406,172.8009033203125,62.87281036376953,,444.6499938964844,433.8821105957031,184.02505493164062,204.27159118652344,179.6986541748047,32.038761138916016,211.99050903320312,48.57767868041992,201.7391815185547,105.67723846435547,158.0823516845703,64.36721801757812,99.81524658203125,204.63690185546875,308.377197265625,321.6369934082031,47.76003646850586,54.051517486572266,141.0763397216797,211.6601104736328,330.4151611328125,238.78639221191406,126.21266174316406,82.2396240234375,381.457275390625,96.92306518554688,48.158119201660156,289.9343566894531,64.30061340332031,87.48532104492188,273.8385009765625,35.0228385925293,108.75691986083984,76.99275207519531,193.18621826171875,172.12655639648438,540.7737426757812,187.8919219970703,67.78801727294922,49.459999084472656,46.810001373291016,196.67991638183594,167.426025390625,316.215087890625,,180.60137939453125,79.83740234375,135.6596221923828,116.82341766357422
2021-07-27,186.28172302246094,127.79000854492188,132.64369201660156,63.950416564941406,180.5399932861328,222.27000427246094,44.20000076293945,157.4046173095703,48.406917572021484,192.60342407226562,81.4294204711914,207.9613800048828,36.51499938964844,30.25731086730957,92.79788970947266,39.53675079345703,,331.02984619140625,154.0186309814453,248.63877868652344,88.9476547241211,144.18421936035156,119.26537322998047,24.241466522216797,206.3123779296875,50.73600769042969,174.71871948242188,63.651424407958984,,438.9200134277344,433.3691101074219,183.361328125,205.26063537597656,181.4003143310547,32.25556564331055,212.10302734375,47.94124984741211,202.3878936767578,105.9547119140625,157.9296112060547,64.48566436767578,100.0965347290039,206.52032470703125,312.8616638183594,327.47467041015625,47.17894744873047,54.406883239746094,140.2368621826172,208.92352294921875,334.0489807128906,236.67108154296875,126.45162200927734,81.46395111083984,378.7765197753906,97.38756561279297,46.88365936279297,289.887451171875,67.28633880615234,87.39600372314453,269.8662109375,34.816654205322266,109.02923583984375,79.02619171142578,193.45826721191406,168.47476196289062,539.0033569335938,188.85140991210938,68.30533599853516,48.650001525878906,45.81999969482422,194.7505340576172,155.72230529785156,315.0964050292969,,180.4853515625,79.74989318847656,135.90936279296875,116.70104217529297
2021-07-28,185.3767547607422,126.75235748291016,132.4888153076172,63.30276870727539,186.08999633789062,231.57000732421875,44.119998931884766,156.443115234375,48.04359436035156,194.01649475097656,78.92378234863281,206.37808227539062,36.400001525878906,29.818124771118164,93.15823364257812,39.86494064331055,,331.0672607421875,153.20069885253906,249.2356414794922,88.96573638916016,143.55628967285156,118.14210510253906,24.07656478881836,205.72842407226562,50.78765106201172,176.03329467773438,63.894752502441406,,431.0400085449219,431.3741149902344,183.74696350097656,205.37648010253906,181.150634765625,32.334415435791016,205.88758850097656,47.20537185668945,200.69937133789062,107.10413360595703,157.07015991210938,64.04828643798828,99.88088989257812,206.15811157226562,308.3301086425781,325.79669189453125,47.7415885925293,54.35221862792969,138.70484924316406,210.15028381347656,332.1214294433594,231.26133728027344,126.3345947265625,81.19615936279297,385.2882995605469,97.00048065185547,45.8530158996582,287.2059631347656,66.7247543334961,88.95366668701172,275.09820556640625,34.526126861572266,108.31558227539062,78.11248016357422,193.3266143798828,163.3188018798828,539.0116577148438,186.462158203125,68.7430419921875,49.13999938964844,46.13999938964844,193.4374542236328,153.2092742919922,314.2671203613281,,179.1029815673828,80.9654541015625,134.71630859375,115.74066162109375
2021-07-29,187.12403869628906,126.66824340820312,134.16342163085938,64.4838638305664,186.4199981689453,231.6300048828125,44.939998626708984,157.93576049804688,50.251529693603516,195.04420471191406,79.56578063964844,207.38319396972656,36.67499923706055,29.986324310302734,93.81927490234375,39.79737854003906,,336.9103088378906,155.22195434570312,250.87210083007812,90.44911193847656,145.6339874267578,119.8506088256836,24.446487426757812,205.79408264160156,50.935218811035156,178.40126037597656,64.67332458496094,,419.29998779296875,438.1666564941406,185.8727264404297,207.50599670410156,182.87075805664062,32.62020492553711,209.10313415527344,47.911415100097656,202.98333740234375,108.39035034179688,159.85845947265625,65.24195861816406,100.29341125488281,206.94590759277344,314.6235656738281,325.6132507324219,47.54789733886719,53.45014190673828,138.6279296875,212.3583984375,337.2400207519531,230.46920776367188,130.70457458496094,82.06417083740234,389.9479064941406,97.740234375,46.15223693847656,290.0374755859375,68.10063171386719,90.72954559326172,280.2750549316406,35.45394515991211,108.43768310546875,78.51559448242188,193.97605895996094,165.28256225585938,544.3060302734375,190.58213806152344,68.93209838867188,48.4900016784668,44.689998626708984,194.11634826660156,153.0257568359375,310.95941162109375,,181.55841064453125,82.6672134399414,135.21572875976562,117.74609375
2021-07-30,187.8408660888672,127.696533203125,134.59902954101562,64.3923110961914,186.02000427246094,226.47999572753906,44.5,158.86976623535156,51.471954345703125,189.7130126953125,79.51228332519531,206.44924926757812,36.75,30.201248168945312,94.06743621826172,38.51358413696289,,338.58648681640625,157.111572265625,250.86248779296875,91.25411224365234,145.9479522705078,121.058837890625,24.41083335876465,204.3560333251953,53.605918884277344,176.50144958496094,63.018802642822266,,419.3599853515625,422.3491516113281,183.98916625976562,208.31689453125,185.38619995117188,32.344261169433594,212.51551818847656,48.59757995605469,201.44589233398438,107.38201141357422,160.85153198242188,65.07793426513672,99.77776336669922,205.3070068359375,310.36505126953125,324.8005065917969,46.59785842895508,54.406883239746094,138.46702575683594,213.3870086669922,334.8052062988281,232.08041381835938,131.27032470703125,82.69209289550781,389.928466796875,98.47564697265625,45.986000061035156,292.5596008300781,68.95234680175781,90.18388366699219,282.6749267578125,35.92254638671875,111.14204406738281,77.8885269165039,191.29937744140625,164.6641845703125,532.8363037109375,191.52276611328125,68.65352630615234,46.720001220703125,43.459999084472656,195.40260314941406,152.66676330566406,317.79656982421875,,183.6175079345703,82.53106689453125,137.11158752441406,118.48991394042969
2021-08-02,187.6795654296875,127.01412200927734,133.80523681640625,63.943668365478516,189.63999938964844,225.33999633789062,44.45000076293945,158.7782440185547,50.87571716308594,188.25399780273438,79.94029235839844,203.74520874023438,36.5099983215332,29.986324310302734,92.91959381103516,38.079219818115234,,333.3052978515625,156.94229125976562,248.831298828125,90.19584655761719,144.50743103027344,119.49191284179688,24.384092330932617,201.58944702148438,54.22563934326172,176.32139587402344,61.193939208984375,,400.0,418.1501770019531,182.45538330078125,207.09617614746094,182.33436584472656,32.25556564331055,211.81240844726562,48.10035705566406,200.397216796875,106.31021118164062,159.91574096679688,64.42188262939453,100.42467498779297,204.59169006347656,309.43243408203125,321.85540771484375,45.878414154052734,54.06974411010742,138.1732177734375,214.24569702148438,333.71697998046875,230.5772247314453,130.11932373046875,83.04300689697266,389.8699645996094,97.97384643554688,45.49283218383789,286.3995361328125,69.68238830566406,88.39805603027344,282.5738525390625,36.11935043334961,110.80399322509766,77.58399200439453,192.3875732421875,163.6112518310547,528.02392578125,189.22764587402344,69.33000183105469,46.06999969482422,43.4900016784668,194.29502868652344,153.1294708251953,314.6335754394531,,183.67547607421875,81.27659606933594,136.19607543945312,118.29219055175781
2021-08-03,191.25485229492188,128.82765197753906,134.3279571533203,65.59171295166016,187.32000732421875,229.08999633789062,45.86000061035156,160.24337768554688,53.26997756958008,191.3188018798828,81.5096664428711,207.29425048828125,37.04750061035156,30.304035186767578,93.17017364501953,38.38810729980469,,342.584716796875,159.50885009765625,249.98646545410156,91.4983139038086,150.3434600830078,119.5202407836914,24.927837371826172,204.9838104248047,55.01504898071289,177.6629638671875,62.690330505371094,,402.0899963378906,423.6506042480469,183.29849243164062,207.30111694335938,186.12603759765625,32.52165222167969,214.46546936035156,49.393104553222656,204.9563446044922,102.78504943847656,163.49661254882812,65.8707046508789,89.4361801147461,209.49937438964844,313.1914978027344,322.8604431152344,46.71776580810547,54.97182083129883,140.6286163330078,215.30259704589844,336.11492919921875,232.8995819091797,133.54798889160156,84.28961181640625,389.96734619140625,99.32352447509766,45.35430145263672,290.121826171875,71.8351058959961,90.46168518066406,286.02197265625,36.54108428955078,112.43788146972656,78.80225372314453,195.9418487548828,166.29371643066406,525.2479858398438,194.29762268066406,71.2997817993164,46.540000915527344,42.790000915527344,196.5637969970703,154.89259338378906,326.16705322265625,,182.2157745361328,83.19231414794922,138.1751251220703,120.44828033447266
2021-08-04,189.96453857421875,126.64020538330078,132.34361267089844,65.4818344116211,191.1199951171875,226.6300048828125,45.95000076293945,159.3734130859375,53.139556884765625,187.66673278808594,80.57339477539062,205.53306579589844,37.08250045776367,29.827470779418945,92.54731750488281,37.017433166503906,,337.7250061035156,158.00466918945312,246.52098083496094,90.62999725341797,149.43849182128906,118.50078582763672,24.64705467224121,200.8302764892578,54.299415588378906,176.35739135742188,62.59907913208008,,400.239990234375,417.38067626953125,179.755615234375,204.5745086669922,184.78506469726562,30.25499725341797,212.5998992919922,50.03948211669922,202.2724151611328,102.181640625,160.07806396484375,65.02326202392578,88.58297729492188,207.724609375,309.6302795410156,316.0353698730469,45.10363006591797,54.62556838989258,138.18017578125,213.74560546875,329.483642578125,228.27291870117188,131.86050415039062,83.84636688232422,431.7092590332031,98.8563232421875,44.93871307373047,284.4212341308594,71.72278594970703,88.33855438232422,286.8127136230469,36.55045700073242,111.89326477050781,76.87630462646484,194.3709716796875,162.95945739746094,512.0744018554688,188.3904571533203,69.73788452148438,45.279998779296875,41.810001373291016,194.38430786132812,152.21202087402344,312.12628173828125,,181.23936462402344,82.4921646118164,137.66648864746094,119.25252532958984
2021-08-05,191.1204376220703,128.35092163085938,132.5178680419922,65.3170166015625,193.49000549316406,229.94000244140625,47.33000183105469,159.272705078125,52.46878433227539,190.11672973632812,80.02053833007812,203.04254150390625,37.0525016784668,30.042388916015625,93.54720306396484,38.6004638671875,,341.14276123046875,159.05760192871094,246.25146484375,91.40787506103516,149.52163696289062,117.19817352294922,24.71390724182129,201.32667541503906,54.23301315307617,177.0957489013672,62.66599655151367,,403.7200012207031,417.295166015625,182.25807189941406,204.83294677734375,184.09149169921875,31.211559295654297,212.90924072265625,49.82072067260742,201.72137451171875,102.21340942382812,159.62847900390625,65.50621032714844,88.36734008789062,209.38165283203125,310.5252380371094,315.2837829589844,46.53329086303711,55.11760330200195,138.3690948486328,212.7925262451172,330.8393859863281,229.0560302734375,132.75302124023438,83.78173828125,445.7564392089844,99.75611877441406,44.37905502319336,281.4960021972656,71.5636978149414,91.801025390625,288.458740234375,35.99750900268555,111.01997375488281,77.8258285522461,195.66104125976562,163.9956817626953,519.0891723632812,183.828369140625,71.28982543945312,47.2400016784668,43.06999969482422,195.7598419189453,151.9167938232422,313.7850036621094,,183.58853149414062,83.7271728515625,137.17628479003906,120.06224060058594
2021-08-06,190.860595703125,128.57528686523438,132.44039916992188,65.61917114257812,192.58999633789062,231.3300018310547,47.290000915527344,158.75990295410156,52.524681091308594,191.18113708496094,81.14408111572266,203.76300048828125,36.497501373291016,30.182554244995117,93.38016510009766,38.91899490356445,,343.5398254394531,159.33961486816406,244.34547424316406,91.7515869140625,150.4173583984375,117.27368927001953,24.629222869873047,201.6697540283203,54.95602035522461,179.24765014648438,63.57843780517578,,415.0400085449219,418.2964172363281,184.39280700683594,204.65467834472656,185.18275451660156,31.300308227539062,213.43423461914062,49.542274475097656,202.3878936767578,102.33248901367188,159.80067443847656,65.67021942138672,88.48922729492188,209.42686462402344,314.482177734375,316.39361572265625,46.7823371887207,55.06294631958008,138.59994506835938,212.24517822265625,333.9659729003906,231.4335479736328,133.01153564453125,83.2369384765625,454.705322265625,99.8512954711914,44.35135269165039,279.90203857421875,72.1627197265625,91.6224594116211,289.0287170410156,35.76321792602539,111.09507751464844,78.45288848876953,196.9686737060547,164.29649353027344,522.8792114257812,185.30520629882812,72.23492431640625,47.619998931884766,44.279998779296875,196.956787109375,153.656005859375,319.6288757324219,,181.8677520751953,83.75634002685547,136.72317504882812,121.26739501953125
