Date,ALB,AMCR,APD,AVY,BALL,CF,CTVA,DD,DOW,ECL,EMN,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SHW,STLD,SW,VMC
2021-07-26,183.5979461669922,46.34646224975586,254.93179321289062,187.96246337890625,76.01982879638672,42.89166259765625,40.11814498901367,85.11418151855469,47.20528030395508,207.29263305664062,92.76435089111328,34.20602035522461,130.10845947265625,44.31412124633789,278.9143371582031,69.86715698242188,342.0071716308594,26.943992614746094,52.237789154052734,90.75725555419922,116.12284851074219,148.69427490234375,272.9476623535156,56.63199996948242,48.45470428466797,169.10610961914062
2021-07-27,178.08551025390625,46.507808685302734,254.73782348632812,187.7335662841797,75.97299194335938,42.61278533935547,40.288639068603516,84.3730697631836,47.15961456298828,208.8628692626953,91.98432922363281,33.926029205322266,130.42318725585938,44.54161071777344,279.2694091796875,70.21454620361328,342.6181640625,26.571367263793945,53.04224395751953,91.33282470703125,119.16031646728516,148.8746337890625,275.0892639160156,56.659820556640625,45.37007522583008,169.74986267089844
2021-07-28,183.3152618408203,46.70948791503906,253.7943115234375,192.2563934326172,76.01982879638672,42.927650451660156,40.56337356567383,84.65811920166016,47.09870147705078,207.2831268310547,92.2083740234375,34.23402404785156,129.81991577148438,44.359619140625,277.4097595214844,70.15782165527344,356.3601989746094,27.05045509338379,53.52665710449219,92.27976989746094,119.893798828125,147.2609405517578,274.9171447753906,56.8174934387207,45.37007522583008,175.8226776123047
2021-07-29,191.11753845214844,46.951499938964844,255.41677856445312,191.99085998535156,75.86996459960938,42.84668731689453,40.942283630371094,85.96320343017578,47.65442657470703,208.47500610351562,93.56926727294922,35.904659271240234,130.39698791503906,44.010807037353516,279.83013916015625,71.2708969116211,356.2826232910156,27.618253707885742,54.25325012207031,96.0396728515625,120.99832916259766,146.8191680908203,276.6859130859375,59.961647033691406,45.37007522583008,175.4671173095703
2021-07-30,194.1517333984375,46.62881088256836,256.6158447265625,192.88807678222656,75.74822235107422,42.50484848022461,40.525474548339844,85.91741180419922,47.31947326660156,208.89126586914062,93.53604125976562,35.55931854248047,131.71728515625,43.798492431640625,287.2498779296875,70.42015075683594,352.3257751464844,27.70697784423828,54.33975601196289,96.5688247680664,122.10283660888672,147.41419982910156,278.2538757324219,59.776161193847656,45.37007522583008,172.94964599609375
2021-08-02,194.96212768554688,46.467464447021484,254.58795166015625,192.50357055664062,76.22588348388672,41.34438705444336,40.24129104614258,85.45948028564453,46.6038932800293,206.28048706054688,92.83901977539062,34.17801284790039,130.79920959472656,43.608917236328125,280.5497131347656,70.11530303955078,351.8699951171875,26.544754028320312,53.6131591796875,94.76780700683594,120.1785659790039,147.2158660888672,278.770263671875,58.34783935546875,45.8743782043457,172.55564880371094
2021-08-03,195.0375213623047,47.072505950927734,256.2809143066406,195.9002685546875,75.3361587524414,41.78518295288086,40.800193786621094,85.16181182861328,47.37276077270508,207.50071716308594,92.74773406982422,34.19668960571289,131.25392150878906,44.51885223388672,283.07275390625,71.03693389892578,351.57904052734375,27.804563522338867,54.192710876464844,99.02900695800781,120.98969268798828,149.31639099121094,282.9867248535156,59.961647033691406,45.8743782043457,173.77598571777344
2021-08-04,194.90562438964844,46.7901496887207,253.6532745361328,194.79244995117188,74.0156021118164,40.52578353881836,40.042354583740234,85.01299285888672,46.428802490234375,206.0250701904297,90.46575927734375,33.2726936340332,129.2252960205078,43.76816177368164,285.59588623046875,68.76829528808594,355.1382141113281,27.15691566467285,53.50935745239258,97.38579559326172,119.71260070800781,147.6756134033203,283.2256774902344,58.40348815917969,45.8743782043457,172.63253784179688
2021-08-05,206.0059051513672,47.112850189208984,254.57904052734375,194.0050811767578,75.6545639038086,40.65172576904297,39.25608825683594,84.95576477050781,46.43641662597656,206.3844757080078,91.76856994628906,33.45936584472656,129.4788818359375,43.540679931640625,284.85760498046875,68.53433227539062,351.62762451171875,27.236764907836914,52.9817008972168,94.23861694335938,119.54862976074219,146.9003143310547,282.6806945800781,57.15138626098633,45.8743782043457,170.8452911376953
2021-08-06,213.6291046142578,47.31452941894531,256.43072509765625,195.21363830566406,79.83158874511719,41.55128860473633,42.401126861572266,87.0851058959961,47.19767379760742,207.7750701904297,93.61903381347656,34.40201187133789,132.08453369140625,43.89706802368164,285.8294372558594,70.50521087646484,355.55523681640625,27.937639236450195,51.744728088378906,96.83806610107422,121.30033874511719,148.0542755126953,283.9140625,58.28291320800781,46.1517448425293,174.07388305664062
2021-08-09,218.02967834472656,47.67755889892578,243.1427764892578,196.5228729248047,81.80770111083984,42.34292221069336,42.79898452758789,86.47836303710938,47.06063461303711,206.73451232910156,93.61074829101562,34.0286979675293,134.41915893554688,44.458187103271484,283.39056396484375,70.63992309570312,358.1445617675781,28.886934280395508,50.89703369140625,100.05948638916016,123.0865707397461,148.6514434814453,284.3538513183594,59.729793548583984,46.1517448425293,176.06289672851562
2021-08-10,225.23825073242188,48.201927185058594,245.01206970214844,198.7018280029297,83.19380187988281,43.0175895690918,43.22528076171875,88.4130630493164,48.05026626586914,207.2169189453125,94.97163391113281,35.67133331298828,136.7100372314453,45.208892822265625,282.0074157714844,73.48990631103516,366.7467041015625,29.853984832763672,50.21366882324219,109.64022827148438,124.31190490722656,151.41993713378906,283.07269287109375,63.337684631347656,46.01726531982422,180.0121307373047
2021-08-11,222.3736572265625,49.12965774536133,245.77040100097656,199.1321563720703,83.85875701904297,43.45838928222656,43.3294792175293,89.63800048828125,48.90287780761719,208.70204162597656,96.88021087646484,36.147315979003906,137.0860137939453,45.542537689208984,286.23126220703125,75.10631561279297,378.6266784667969,30.27982521057129,51.26033020019531,113.92930603027344,125.6494369506836,153.98045349121094,289.057861328125,66.33345794677734,46.58879852294922,185.84471130371094
2021-08-12,222.8919219970703,48.60530090332031,244.78280639648438,197.7771759033203,83.77445220947266,44.1060791015625,43.76657485961914,89.2945556640625,48.72779846191406,207.69935607910156,96.52339172363281,35.829986572265625,136.4827117919922,45.43638229370117,286.5677185058594,74.43991088867188,377.1913146972656,30.08464813232422,50.47317886352539,116.2687759399414,125.52001953125,154.161376953125,290.3772888183594,67.65049743652344,46.58879852294922,184.83575439453125
2021-08-13,221.6481170654297,49.00865173339844,246.66091918945312,197.32852172851562,83.05331420898438,43.78929901123047,43.70005798339844,88.24134826660156,48.48418045043945,209.60072326660156,96.00890350341797,35.55931854248047,137.05978393554688,45.29335021972656,289.128173828125,74.48954010009766,373.79705810546875,29.774131774902344,50.89703369140625,117.1321792602539,126.34841918945312,153.6094512939453,292.24176025390625,67.81742095947266,49.396060943603516,182.3662872314453
2021-08-16,212.86581420898438,49.29100799560547,248.2569122314453,201.14634704589844,83.41856384277344,41.98812484741211,42.920894622802734,87.82920837402344,48.2025260925293,209.3169403076172,95.20399475097656,34.38334655761719,136.01925659179688,45.49221420288086,290.9504699707031,73.31975555419922,369.3262939453125,28.807092666625977,50.93162536621094,115.37754821777344,126.06365203857422,153.25660705566406,294.2495422363281,66.47257232666016,49.396060943603516,180.44451904296875
2021-08-17,203.96109008789062,48.80697250366211,248.13343811035156,198.4729461669922,83.71826934814453,41.24592590332031,42.82586669921875,86.19215393066406,47.43366241455078,209.3263702392578,93.7850112915039,32.39539337158203,135.38104248046875,45.079219818115234,291.1092834472656,72.15706634521484,365.98065185546875,27.68035888671875,50.914329528808594,111.00493621826172,125.70121765136719,150.72329711914062,291.5341796875,63.875640869140625,48.70685577392578,178.30714416503906
