Date,APA,BKR,COP,CTRA,CVX,DVN,EOG,EQT,EXE,FANG,HAL,KMI,MPC,OKE,OXY,PSX,SLB,TPL,TRGP,VLO,WMB,XOM
2021-07-26,16.19304656982422,18.53431510925293,47.946434020996094,,82.22578430175781,20.806013107299805,58.5708122253418,19.49385643005371,43.678245544433594,64.91902160644531,18.81123161315918,13.524824142456055,48.54521179199219,40.84756851196289,25.33490753173828,61.53148651123047,26.39910888671875,156.55584716796875,39.22724914550781,55.55923080444336,20.348283767700195,48.659297943115234
2021-07-27,15.952385902404785,18.339120864868164,47.49116516113281,,81.94886779785156,20.251708984375,57.43368148803711,18.980117797851562,43.50410461425781,63.543792724609375,18.765769958496094,13.464140892028809,48.261016845703125,40.15703201293945,24.531509399414062,61.71364974975586,26.148197174072266,150.9912567138672,37.95545196533203,55.59313201904297,20.093828201293945,48.11845779418945
2021-07-28,16.364946365356445,18.631916046142578,47.81996536254883,,82.41314697265625,20.657676696777344,57.883792877197266,19.381763458251953,43.8840446472168,64.37701416015625,19.17490577697754,13.4793119430542,49.09585952758789,40.47574996948242,25.12938690185547,62.27663040161133,26.27365493774414,155.1819610595703,38.658992767333984,57.05120086669922,20.1176815032959,48.44296646118164
2021-07-29,16.399324417114258,18.791610717773438,48.12348937988281,,83.54532623291016,20.790401458740234,58.20756530761719,17.457599639892578,43.80488967895508,64.34465789794922,19.320375442504883,13.577919006347656,49.673152923583984,40.82480239868164,25.017284393310547,61.91233825683594,26.56040382385254,153.0808563232422,38.812686920166016,57.33940887451172,20.23695945739746,49.03373336791992
2021-07-30,16.11568832397461,18.8448429107666,47.26353073120117,,82.9262924194336,20.17363739013672,57.53633117675781,17.177379608154297,42.783775329589844,62.39506530761719,18.80213737487793,13.385379791259766,49.042579650878906,40.13364028930664,24.38204574584961,60.79465103149414,25.83456039428711,156.1739044189453,38.071327209472656,56.771453857421875,19.91889190673828,47.90212631225586
2021-08-02,15.711726188659668,18.507701873779297,46.690223693847656,,82.77967834472656,19.900388717651367,56.55713653564453,16.364749908447266,42.19011306762695,62.0876579284668,18.32935333251953,13.33917236328125,48.367591857910156,39.65484619140625,24.092451095581055,60.83603286743164,25.538848876953125,154.7404022216797,37.54695510864258,56.28825759887695,19.831418991088867,47.910438537597656
2021-08-03,16.141475677490234,18.906946182250977,47.75252151489258,,83.56977081298828,20.46249771118164,58.183876037597656,16.710350036621094,43.19539260864258,65.14553833007812,18.520286560058594,13.462398529052734,49.68202209472656,39.71662521362305,24.690324783325195,62.98036193847656,25.897287368774414,155.38388061523438,38.08037185668945,58.500797271728516,19.974546432495117,48.42632293701172
2021-08-04,15.256189346313477,18.303632736206055,46.31084442138672,,81.69636535644531,19.744245529174805,55.86219787597656,16.999914169311523,43.124149322509766,61.82072067260742,17.456531524658203,13.200542449951172,48.29654312133789,39.94057846069336,23.9990291595459,59.312660217285156,24.759241104125977,151.31671142578125,37.43846130371094,55.1900749206543,19.791662216186523,47.29470443725586
2021-08-05,15.522632598876953,18.507701873779297,47.17078399658203,,82.45387268066406,20.790401458740234,55.86219787597656,16.915842056274414,42.910430908203125,64.57926940917969,17.71110725402832,13.108122825622559,50.170501708984375,40.3189811706543,24.46611976623535,60.744964599609375,25.01911163330078,153.74322509765625,38.333518981933594,56.505767822265625,19.9427433013916,47.59425354003906
2021-08-06,15.754697799682617,18.800485610961914,47.63449478149414,,83.04032135009766,21.087072372436523,56.01225662231445,17.326824188232422,43.567420959472656,64.75723266601562,18.183887481689453,13.185139656066895,50.98757553100586,40.58926773071289,24.652950286865234,61.23345947265625,25.4671630859375,154.84083557128906,38.76749038696289,57.185096740722656,19.92683982849121,48.1434211730957
2021-08-09,15.393706321716309,18.872066497802734,46.749244689941406,,81.6556396484375,20.7982120513916,54.78822326660156,17.8779296875,42.79169464111328,62.4759635925293,17.902036666870117,13.123526573181152,50.8188362121582,39.9637451171875,23.924297332763672,60.44690704345703,25.08184051513672,155.50942993164062,38.550498962402344,56.7551383972168,19.688297271728516,47.59425354003906
2021-08-10,16.382139205932617,19.113676071166992,47.61762237548828,,83.14620971679688,21.586727142333984,54.27495574951172,18.0927677154541,43.931549072265625,63.19594955444336,18.374814987182617,13.239053726196289,51.9378776550293,40.69738006591797,24.531509399414062,61.45698928833008,25.4671630859375,157.47549438476562,40.141700744628906,57.529075622558594,19.863229751586914,48.40967559814453
2021-08-11,16.52825164794922,19.24789810180664,48.216224670410156,,83.77339172363281,21.859975814819336,54.85140609741211,17.905954360961914,45.071388244628906,64.2862319946289,18.75667381286621,13.277560234069824,52.5240478515625,40.79777526855469,25.073331832885742,61.60601043701172,25.968978881835938,156.05148315429688,39.95184326171875,57.477474212646484,19.863229751586914,48.55113220214844
2021-08-12,16.261808395385742,19.104721069335938,48.08975601196289,,83.60232543945312,22.22690773010254,55.11200714111328,17.50430679321289,46.551597595214844,64.57913208007812,18.583932876586914,13.323768615722656,52.879302978515625,41.214786529541016,25.101364135742188,61.630855560302734,25.583660125732422,157.84805297851562,40.069374084472656,57.83005142211914,19.879133224487305,48.441322326660156
2021-08-13,15.367918968200684,19.38212776184082,47.187652587890625,,83.04845428466797,21.86779022216797,53.69846725463867,16.757057189941406,44.95265579223633,61.544246673583984,18.302082061767578,13.2544527053833,52.532920837402344,40.50431442260742,24.092451095581055,61.17548751831055,25.404438018798828,155.2154541015625,39.72581100463867,56.970123291015625,19.743953704833984,47.951419830322266
2021-08-16,14.723295211791992,19.04208755493164,46.20966720581055,,82.20135498046875,21.21198844909668,52.055931091308594,16.21529769897461,44.192745208740234,59.02192306518555,17.865665435791016,13.092720031738281,51.84906005859375,39.9637451171875,23.158267974853516,59.48651885986328,24.893661499023438,151.6337890625,38.89405059814453,55.49964904785156,19.569019317626953,47.2503547668457
2021-08-17,14.499820709228516,19.140518188476562,45.96517562866211,,82.04662322998047,21.009002685546875,52.095428466796875,15.907058715820312,43.353702545166016,58.484920501708984,17.429250717163086,12.900181770324707,51.22113800048828,39.600799560546875,22.495004653930664,58.664859771728516,24.364961624145508,149.11935424804688,39.083919525146484,54.61392593383789,19.465646743774414,46.929386138916016
2021-08-18,14.267760276794434,18.952604293823242,45.130516052246094,,79.82600402832031,20.407854080200195,51.61370849609375,15.337281227111816,41.49353790283203,56.80067443847656,17.183773040771484,12.545906066894531,50.485557556152344,39.04476547241211,21.906471252441406,57.13892364501953,24.024436950683594,143.29847717285156,38.387760162353516,53.52181625366211,19.115772247314453,45.94112777709961
2021-08-19,13.752053260803223,18.06671714782715,44.21155548095703,,77.83654022216797,19.783279418945312,50.745059967041016,15.178491592407227,41.13733673095703,55.23033142089844,16.501874923706055,12.23784351348877,48.6466178894043,38.04857635498047,20.635988235473633,55.56268310546875,23.69288444519043,138.56370544433594,37.1762809753418,51.80196762084961,18.996501922607422,44.538997650146484
2021-08-20,13.81221866607666,18.28147315979004,44.489768981933594,,77.84481048583984,20.0643367767334,50.910888671875,15.122447967529297,41.69142150878906,55.474430084228516,16.556428909301758,12.276351928710938,49.13102340698242,38.94438171386719,20.505205154418945,55.294376373291016,23.710805892944336,139.4416046142578,37.836265563964844,51.76757049560547,19.115772247314453,44.54743957519531
2021-08-23,14.860815048217773,19.256847381591797,46.19281005859375,,79.85076904296875,21.282249450683594,53.414188385009766,15.468050956726074,41.63087844848633,58.74529266357422,17.465620040893555,12.538206100463867,50.969970703125,40.141361236572266,21.92514991760254,57.683902740478516,24.6337890625,142.7229766845703,38.93925476074219,54.269954681396484,19.481548309326172,46.3803596496582
2021-08-24,15.385111808776855,19.856388092041016,46.71552658081055,,80.7670669555664,22.273757934570312,54.05382537841797,15.49606990814209,41.98941421508789,60.37258529663086,18.229341506958008,12.692235946655273,51.99258041381836,40.89815902709961,22.77525520324707,59.46974563598633,25.287940979003906,145.69775390625,39.698699951171875,56.09300231933594,19.592872619628906,46.76045608520508
2021-08-25,15.582797050476074,20.00851058959961,47.22980499267578,,81.3201675415039,22.828062057495117,54.27495574951172,16.308704376220703,42.252342224121094,61.031646728515625,18.338443756103516,12.684535026550293,52.59361267089844,41.2842903137207,23.00879669189453,60.517784118652344,25.494047164916992,148.26028442382812,40.10554504394531,57.04751968383789,19.553115844726562,46.844913482666016
2021-08-26,15.204618453979492,19.954818725585938,46.479461669921875,,80.2552719116211,22.71095848083496,53.248348236083984,16.205961227416992,42.31608963012695,59.461299896240234,17.97477149963379,12.43038272857666,52.10921096801758,40.58154296875,22.42026710510254,59.260135650634766,25.207292556762695,144.50389099121094,39.39130401611328,56.290775299072266,19.2032413482666,46.21141052246094
2021-08-27,16.107093811035156,20.643842697143555,47.836830139160156,,81.42747497558594,23.70246124267578,54.985660552978516,17.392221450805664,44.12474060058594,62.36603927612305,18.683942794799805,12.776955604553223,53.84049987792969,41.5777473449707,23.971004486083984,60.87831497192383,26.0585880279541,148.05943298339844,40.81977462768555,57.709659576416016,19.569019317626953,47.10675811767578
2021-08-30,16.038330078125,20.402238845825195,47.381561279296875,,81.22110748291016,23.249650955200195,53.216758728027344,16.915842056274414,43.6546516418457,62.064964294433594,18.32935333251953,12.584413528442383,52.86271667480469,40.959957122802734,23.58799171447754,60.00635528564453,25.34171485900879,148.10231018066406,39.94280242919922,56.772335052490234,19.52926254272461,46.591522216796875
2021-08-31,16.743127822875977,20.384340286254883,46.81668472290039,,79.8837890625,23.07008171081543,53.31941223144531,17.121337890625,44.467350006103516,62.76469421386719,18.206342697143555,12.530505180358887,53.1677131652832,40.558380126953125,23.9990291595459,59.60391616821289,25.238201141357422,142.27723693847656,39.70773696899414,57.0217170715332,19.632633209228516,46.050933837890625
2021-09-01,16.3735408782959,20.1337890625,46.07477569580078,,79.00875091552734,22.04734992980957,52.403404235839844,17.513641357421875,45.104759216308594,60.34003448486328,17.942087173461914,12.445788383483887,51.3557014465332,40.218589782714844,23.42918586730957,58.02764892578125,25.184194564819336,141.76559448242188,39.5901985168457,54.99229431152344,19.600826263427734,45.417442321777344
2021-09-02,17.061145782470703,20.894397735595703,47.718788146972656,,80.6597671508789,22.890520095825195,53.98274230957031,18.522428512573242,46.44332504272461,62.300926208496094,18.643726348876953,12.646027565002441,51.93876266479492,41.15300750732422,24.830446243286133,58.6229362487793,25.75124168395996,138.94143676757812,40.7293586730957,56.06720733642578,19.966602325439453,46.52394104003906
2021-09-03,16.90643310546875,20.724376678466797,47.41529083251953,,80.47815704345703,22.773414611816406,53.69058609008789,19.1762752532959,47.032920837402344,61.4791374206543,18.37946891784668,12.584413528442383,52.24376678466797,41.060333251953125,24.213890075683594,58.37141418457031,25.283205032348633,135.59523010253906,40.7293586730957,55.637237548828125,19.85527801513672,46.3465690612793
2021-09-07,16.78609848022461,20.599105834960938,47.196083068847656,,80.12318420410156,22.687532424926758,53.437870025634766,18.980117797851562,47.67033386230469,60.966548919677734,18.14255714416504,12.445788383483887,52.539794921875,40.51976013183594,23.971004486083984,57.63359832763672,25.04918670654297,127.79898834228516,40.15977478027344,56.342376708984375,19.57697105407715,46.07627487182617
2021-09-08,16.364946365356445,20.321701049804688,46.605918884277344,,79.57011413574219,22.039539337158203,53.05093002319336,19.120229721069336,48.50693893432617,60.779415130615234,17.632265090942383,12.391875267028809,51.23011016845703,40.434814453125,23.270368576049805,56.16634750366211,23.9960880279541,128.45960998535156,40.05128860473633,54.77732467651367,19.680341720581055,45.65394592285156
2021-09-09,16.270397186279297,21.037569046020508,46.85885238647461,,79.2481460571289,22.211299896240234,53.1851692199707,18.559789657592773,48.25994110107422,61.560516357421875,17.604928970336914,12.307157516479492,51.3557014465332,40.46571350097656,23.429241180419922,55.95673751831055,23.96009063720703,128.6357421875,39.743900299072266,54.63972091674805,19.51862335205078,45.68772888183594
2021-09-10,16.06412124633789,21.350759506225586,46.98530960083008,,79.30593872070312,22.29868507385254,53.019344329833984,18.120784759521484,47.439273834228516,61.056053161621094,17.796289443969727,12.299455642700195,51.01481246948242,40.53521728515625,23.34513282775879,55.65489959716797,24.10409927368164,128.03280639648438,39.31898880004883,54.52793502807617,19.6318302154541,45.59480667114258
2021-09-13,17.31899642944336,21.825021743774414,48.55345153808594,,80.87439727783203,22.97391700744629,55.348899841308594,18.653196334838867,49.92517852783203,63.301719665527344,18.62550926208496,12.43038272857666,52.57566833496094,41.24567794799805,24.905839920043945,56.39271545410156,25.301206588745117,130.2830810546875,40.4490966796875,56.909934997558594,20.060367584228516,46.76889419555664
2021-09-14,16.631391525268555,21.78028106689453,48.00544738769531,,79.41326141357422,22.457561492919922,54.89878845214844,18.242212295532227,49.152313232421875,61.576778411865234,18.28835105895996,12.330262184143066,51.63378143310547,40.9676628112793,24.5600528717041,54.699092864990234,24.90517234802246,127.41209411621094,39.96088409423828,55.637237548828125,20.011850357055664,46.101619720458984
2021-09-15,17.722965240478516,22.487205505371094,50.01199722290039,,81.09728240966797,24.094017028808594,59.4710578918457,19.222976684570312,50.180145263671875,66.3772964477539,18.95354652404785,12.615220069885254,53.436832427978516,43.02184295654297,26.055334091186523,55.3614501953125,26.318294525146484,131.34739685058594,42.23015594482422,57.1937141418457,20.860837936401367,47.655784606933594
2021-09-16,17.611221313476562,21.825021743774414,49.93611145019531,,80.33781433105469,24.078126907348633,58.412879943847656,18.083423614501953,48.753929138183594,65.1487045288086,18.762187957763672,12.445788383483887,53.01521682739258,42.91372299194336,25.54132652282715,55.13508224487305,25.976266860961914,130.29568481445312,41.78715133666992,56.290775299072266,20.545499801635742,47.14899444580078
2021-09-17,17.31039810180664,21.42234992980957,49.674766540527344,,79.87554168701172,23.6650390625,58.63398361206055,17.588367462158203,48.658329010009766,67.22349548339844,18.470592498779297,12.291753768920898,52.7999382019043,42.60482406616211,25.176856994628906,55.353057861328125,25.481220245361328,136.3575439453125,40.72032165527344,56.41116714477539,20.44038963317871,46.591522216796875
2021-09-20,16.25320816040039,20.47382354736328,48.115047454833984,,78.24104309082031,22.386064529418945,56.48604965209961,17.522985458374023,47.582706451416016,64.36759185791016,17.860074996948242,12.076108932495117,51.248046875,40.92133331298828,23.812414169311523,53.885807037353516,24.527137756347656,130.344970703125,39.8885498046875,54.14957046508789,20.189735412597656,45.3498649597168
2021-09-21,16.13288116455078,20.79596519470215,50.02043151855469,,78.29883575439453,22.6323299407959,57.02304458618164,17.177379608154297,46.41941833496094,65.12430572509766,17.750730514526367,12.153125762939453,51.884944915771484,41.168453216552734,23.76568031311035,53.94451141357422,24.239110946655273,131.16493225097656,40.4490966796875,54.45054244995117,19.979507446289062,45.30763244628906
2021-09-22,17.293209075927734,20.974929809570312,52.49067306518555,,80.60198211669922,24.181398391723633,58.91038131713867,17.663095474243164,46.658451080322266,68.65550231933594,17.99675178527832,12.422680854797363,53.7418212890625,42.35771560668945,24.99929428100586,56.18312072753906,24.4371280670166,132.8856658935547,41.606327056884766,56.1703987121582,20.238252639770508,46.63374328613281
2021-09-23,18.513700485229492,21.51183319091797,53.71315383911133,,82.59967803955078,26.05617332458496,60.70296096801758,18.18616485595703,48.180274963378906,71.48698425292969,18.962657928466797,12.699939727783203,55.43723678588867,44.37327194213867,26.130096435546875,57.52459716796875,25.994264602661133,137.0537872314453,42.8901481628418,57.76126480102539,20.594018936157227,48.21327209472656
2021-09-24,18.83171844482422,21.67290496826172,54.81760025024414,,83.04547119140625,26.286548614501953,61.67427062988281,18.6718807220459,46.68235397338867,72.18673706054688,19.135791778564453,12.730744361877441,55.517967224121094,44.38100051879883,26.260936737060547,57.04669952392578,26.11127471923828,136.47500610351562,42.87205123901367,58.15681457519531,20.53741455078125,48.64404296875
2021-09-27,19.992053985595703,22.29928970336914,56.24242401123047,,85.00189971923828,27.803848266601562,64.60398864746094,20.866926193237305,49.781761169433594,77.6869888305664,20.174589157104492,13.07731819152832,56.59442138671875,45.485313415527344,28.214155197143555,59.63744354248047,27.17336654663086,143.34104919433594,44.71641540527344,60.865596771240234,21.054895401000977,50.08840560913086
2021-09-28,18.64263153076172,22.29928970336914,57.16139602661133,,85.3238525390625,27.90711212158203,64.54081726074219,20.624065399169922,49.47898864746094,77.28016662597656,20.402400970458984,13.008001327514648,56.074127197265625,45.00651550292969,27.943132400512695,59.45298385620117,27.821422576904297,140.13243103027344,44.589839935302734,61.200950622558594,21.087236404418945,50.61209487915039
2021-09-29,18.281639099121094,22.415613174438477,57.363731384277344,,85.29907989501953,28.399642944335938,65.20414733886719,19.372421264648438,48.49100875854492,78.15076446533203,20.192813873291016,13.031108856201172,55.553863525390625,45.415809631347656,28.06462860107422,58.65647888183594,27.29937744140625,130.08700561523438,44.7525749206543,60.46142578125,21.240863800048828,50.57832717895508
2021-09-30,18.419158935546875,22.129274368286133,57.13608932495117,,83.74714660644531,28.208982467651367,63.38787078857422,19.110889434814453,49.0726432800293,77.02792358398438,19.700754165649414,12.884777069091797,55.44621276855469,44.78256607055664,27.644075393676758,58.71516418457031,26.678327560424805,126.8112564086914,44.490386962890625,60.68500518798828,20.974037170410156,49.682979583740234
2021-10-01,18.737173080444336,22.531944274902344,59.10048294067383,,86.12458801269531,29.241703033447266,66.26232147216797,19.26034164428711,49.46306610107422,80.43711853027344,20.302167892456055,13.023406982421875,57.016029357910156,45.9100456237793,29.1113224029541,60.84477996826172,27.32638168334961,122.9996337890625,45.90077209472656,63.307777404785156,21.345975875854492,51.465206146240234
2021-10-04,18.960647583007812,22.77354621887207,60.272396087646484,,86.44652557373047,30.7907657623291,68.2286376953125,20.063631057739258,51.50276565551758,84.11479187011719,20.976472854614258,13.04651165008545,56.5316276550293,46.381107330322266,29.728126525878906,63.477439880371094,27.794416427612305,120.77454376220703,47.07609176635742,64.51168060302734,22.106021881103516,52.13249588012695
