Date,AMT,ARE,AVB,BXP,CBRE,CCI,CPT,CSGP,DLR,DOC,EQIX,EQR,ESS,EXR,FRT,HST,INVH,IRM,KIM,MAA,O,PLD,PSA,REG,SBAC,SPG,UDR,VICI,VTR,WELL,WY
2021-07-26,243.4337158203125,157.07322692871094,190.3447723388672,88.95037078857422,89.19999694824219,151.1615447998047,122.96900177001953,89.2699966430664,129.64932250976562,27.426624298095703,751.83740234375,69.43733978271484,276.30621337890625,139.8583984375,94.55606842041016,12.744305610656738,34.10984802246094,35.88889694213867,16.71040153503418,154.81195068359375,52.98664855957031,110.80412292480469,251.96742248535156,53.06954574584961,312.6258544921875,97.33573150634766,45.399906158447266,24.057859420776367,50.54638671875,77.44600677490234,28.11990737915039
2021-07-27,245.3753204345703,160.7322235107422,192.0950927734375,89.61338806152344,91.3499984741211,152.98580932617188,123.40599060058594,89.0199966430664,130.9982452392578,27.863765716552734,763.00390625,69.7249755859375,276.87353515625,140.71017456054688,95.62651062011719,12.6419095993042,34.49119567871094,36.15223693847656,16.630136489868164,155.98048400878906,53.27159118652344,111.8517074584961,252.16014099121094,53.437679290771484,315.029296875,96.44688415527344,45.51533126831055,24.20273780822754,50.791717529296875,78.03836822509766,28.27405548095703
2021-07-28,243.75021362304688,159.31504821777344,191.39663696289062,90.9702377319336,91.0,151.70413208007812,122.7673110961914,86.94999694824219,129.96969604492188,27.765792846679688,758.00048828125,69.16615295410156,276.3228759765625,141.3408660888672,94.28035736083984,12.673418045043945,34.355613708496094,35.740760803222656,16.670272827148438,155.549560546875,52.739192962646484,110.50108337402344,251.4371795654297,52.85683822631836,314.59490966796875,95.9488296508789,45.408164978027344,23.99685287475586,50.36873245239258,77.2603530883789,27.884628295898438
2021-07-29,242.0567169189453,159.93157958984375,193.47511291503906,91.28632354736328,95.55999755859375,151.61761474609375,125.01119995117188,87.5,126.8756103515625,27.991891860961914,712.7459106445312,69.42091369628906,275.8722839355469,142.29910278320312,95.14806365966797,12.823071479797363,34.44036865234375,35.74898910522461,17.03947639465332,159.95851135253906,52.65671157836914,110.7261962890625,250.4812469482422,53.421321868896484,312.85693359375,96.48519897460938,45.82859802246094,23.630842208862305,50.45333480834961,77.56095886230469,28.257837295532227
2021-07-30,241.88558959960938,161.20462036132812,191.71641540527344,90.49224090576172,96.45999908447266,151.82994079589844,125.54904174804688,88.8499984741211,129.96969604492188,27.863765716552734,743.5895385742188,69.14148712158203,273.78607177734375,142.62677001953125,95.31024932861328,12.547392845153809,34.47425079345703,36.0123291015625,17.11973762512207,160.0331573486328,52.886932373046875,110.85607147216797,251.01943969726562,53.51131057739258,315.2142028808594,96.94493865966797,45.33396530151367,23.783348083496094,50.57176971435547,76.79180145263672,27.36539077758789
2021-08-02,242.58697509765625,162.54171752929688,192.5410614013672,89.69047546386719,95.6500015258789,151.8456268310547,126.16255950927734,88.9000015258789,130.4586944580078,27.6301326751709,742.3025512695312,68.96887969970703,273.9530334472656,143.56861877441406,94.53173065185547,12.444995880126953,34.41493606567383,36.0123291015625,17.08763313293457,161.73204040527344,52.61607360839844,111.21971893310547,249.8385772705078,52.82411193847656,316.4805603027344,96.79169464111328,45.33396530151367,23.402080535888672,50.14877700805664,76.27019500732422,27.762939453125
2021-08-03,243.21141052246094,164.06298828125,192.61680603027344,89.48233795166016,96.20999908447266,153.1509246826172,124.69184875488281,87.33000183105469,130.80435180664062,27.69042205810547,743.4989013671875,69.3140640258789,273.4355773925781,144.60060119628906,94.63716125488281,12.43712043762207,34.24544906616211,36.135780334472656,16.67829704284668,158.66566467285156,52.97723388671875,112.26729583740234,248.68983459472656,52.61140823364258,319.8639221191406,99.25900268554688,45.44938278198242,23.074193954467773,50.3179817199707,77.01282501220703,28.022552490234375
2021-08-04,243.65618896484375,163.71070861816406,191.75848388671875,88.41844940185547,96.63999938964844,153.44183349609375,124.37248229980469,86.26000213623047,131.4619598388672,27.848697662353516,750.7770385742188,69.03466033935547,270.3564758300781,143.92897033691406,92.6746826171875,11.940893173217773,34.2539176940918,35.65846633911133,16.485675811767578,157.679443359375,52.78160095214844,111.6006088256836,246.2236785888672,51.56425094604492,322.68341064453125,98.61534118652344,45.22679138183594,23.013193130493164,49.675048828125,75.23580169677734,27.616901397705078
2021-08-05,241.8513946533203,165.8564453125,192.86083984375,90.09908294677734,98.12999725341797,152.90716552734375,125.28014373779297,87.91999816894531,131.48724365234375,28.157703399658203,752.8436279296875,69.544189453125,271.70831298828125,144.0272979736328,98.21342468261719,12.429242134094238,34.262393951416016,36.38267135620117,17.183940887451172,158.69053649902344,53.26317596435547,112.94261932373047,248.151611328125,53.437679290771484,320.7052307128906,102.69939422607422,45.56479263305664,23.3563289642334,50.740970611572266,76.54426574707031,27.973876953125
2021-08-06,241.3040008544922,166.58502197265625,192.63365173339844,90.89315795898438,97.75,153.1745147705078,124.27161407470703,86.0,132.4315185546875,27.618257522583008,743.353759765625,69.593505859375,272.75140380859375,143.74879455566406,98.37560272216797,12.712799072265625,33.99967956542969,37.00811004638672,17.537099838256836,158.35073852539062,53.13523483276367,112.30193328857422,244.7937469482422,54.32121276855469,320.7792053222656,103.59590911865234,45.2432861328125,23.173320770263672,49.319740295410156,75.3065185546875,28.030664443969727
