Date,ACGL,AFL,AIG,AIZ,AJG,ALL,AMP,AON,APO,AXP,BAC,BEN,BK,BLK,BRK.B,BRO,BX,C,CB,CBOE,CFG,CINF,CME,COF,COIN,CPAY,EG,ERIE,FDS,FI,FIS,FITB,GL,GPN,GS,HBAN,HIG,IBKR,ICE,IVZ,JKHY,JPM,KEY,KKR,L,MA,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PNC,PRU,PYPL,RF,RJF,SCHW,SPGI,STT,SYF,TFC,TROW,TRV,USB,V,WFC,WRB,WTW,XYZ
2021-07-26,36.80928039550781,47.921836853027344,42.58127212524414,143.13841247558594,133.0723114013672,115.73645782470703,233.21080017089844,242.76651000976562,53.6181526184082,162.43162536621094,33.735965728759766,23.307540893554688,,772.5361938476562,,52.52610397338867,95.52086639404297,57.000267028808594,157.18475341796875,111.05157470703125,35.91280746459961,103.16034698486328,170.5683135986328,148.0859375,245.4499969482422,256.54998779296875,221.22616577148438,167.78944396972656,325.2692565917969,,130.91183471679688,30.119529724121094,89.99449157714844,182.04067993164062,333.0142517089844,11.1588773727417,56.01285171508789,14.755208969116211,112.81873321533203,20.295785903930664,164.92454528808594,133.81692504882812,15.177285194396973,59.270816802978516,53.031307220458984,381.3521423339844,364.1072082519531,49.85019302368164,438.93646240234375,,82.17935180664062,544.8961181640625,112.8443374633789,58.09528350830078,96.87079620361328,52.39839553833008,84.66883850097656,153.58108520507812,78.98631286621094,304.165771484375,15.750442504882812,80.66726684570312,63.67152404785156,375.07305908203125,73.544677734375,42.16922378540039,43.228092193603516,165.7049102783203,135.0403289794922,45.16878128051758,241.06597900390625,39.90380096435547,29.407215118408203,192.7058563232422,261.989990234375
2021-07-27,36.638118743896484,48.011077880859375,42.32244873046875,144.0021514892578,133.17665100097656,116.57897186279297,231.72506713867188,250.50619506835938,53.52777099609375,162.7421417236328,33.60324478149414,22.979705810546875,,764.0173950195312,,52.89299774169922,96.29656219482422,57.17688751220703,158.287841796875,108.75565338134766,36.002174377441406,102.5242691040039,171.7760467529297,148.26840209960938,235.0800018310547,256.94000244140625,222.53395080566406,167.86233520507812,326.5408935546875,,133.06394958496094,30.169300079345703,89.56302642822266,183.5456085205078,332.0751647949219,11.150860786437988,55.985721588134766,14.706551551818848,113.39955139160156,19.640039443969727,165.21534729003906,133.6404571533203,15.185128211975098,59.7501220703125,52.81511688232422,378.8958740234375,365.23846435546875,49.58396911621094,438.7202453613281,,82.12826538085938,552.7586059570312,114.30342864990234,57.81816101074219,96.62969970703125,52.32311248779297,85.7781753540039,153.37298583984375,78.82166290283203,297.9000549316406,15.791169166564941,80.04674530029297,63.04452896118164,374.5195617675781,73.15203094482422,42.249732971191406,43.26746368408203,163.4230194091797,135.54843139648438,45.144657135009766,241.72100830078125,40.01905059814453,29.296768188476562,192.640380859375,251.72999572753906
2021-07-28,36.191200256347656,48.00214767456055,41.902976989746094,143.9102783203125,130.50042724609375,115.6566162109375,234.0558319091797,253.12139892578125,53.16627502441406,159.99435424804688,33.735965728759766,22.792373657226562,,762.9802856445312,,52.236427307128906,96.42302703857422,57.27782440185547,155.20285034179688,109.90362548828125,35.17360305786133,100.44815826416016,173.0,147.21934509277344,241.75,256.7900085449219,221.0535888671875,168.3272705078125,327.7366027832031,,131.16757202148438,30.227344512939453,89.30415344238281,182.5169219970703,331.53472900390625,11.214991569519043,55.04508590698242,14.998490333557129,113.65248107910156,19.542888641357422,161.2847900390625,133.8610382080078,15.365531921386719,59.86515426635742,52.323814392089844,372.264892578125,362.9471435546875,49.49809265136719,442.6871032714844,,81.77926635742188,559.9779663085938,114.73006439208984,57.76834487915039,96.302490234375,52.256195068359375,84.56146240234375,152.94850158691406,78.86083984375,299.3871765136719,15.807456970214844,80.78515625,63.493751525878906,373.43084716796875,73.61296081542969,42.231842041015625,43.36982727050781,162.9890899658203,133.22544860839844,45.05622482299805,237.87742614746094,40.347068786621094,28.772127151489258,188.52577209472656,258.6099853515625
2021-07-29,36.60959243774414,49.626319885253906,42.72406768798828,145.13232421875,132.39845275878906,117.52792358398438,240.69512939453125,254.5497589111328,53.789852142333984,161.81051635742188,34.22258758544922,23.26070785522461,,770.6746215820312,,52.9509391784668,98.39602661132812,57.874996185302734,156.52098083496094,109.10379028320312,35.124420166015625,103.99077606201172,174.02943420410156,149.5181427001953,235.77999877929688,259.9800109863281,224.849853515625,168.99276733398438,331.39031982421875,,131.9790496826172,30.384897232055664,90.34925079345703,184.08856201171875,334.4759521484375,11.511598587036133,57.170555114746094,15.159058570861816,113.1841049194336,19.712894439697266,162.5605926513672,135.0081787109375,15.585147857666016,61.16886520385742,52.923194885253906,377.4784240722656,361.7296142578125,50.004756927490234,447.2366638183594,,82.5595703125,562.7407836914062,115.38706970214844,58.12642288208008,97.82659149169922,52.60751724243164,85.67084503173828,154.11375427246094,79.52729797363281,280.7386779785156,15.90518856048584,81.28778839111328,64.16749572753906,384.3001403808594,75.08111572265625,43.22479248046875,43.558807373046875,163.87294006347656,135.09475708007812,45.37782669067383,238.82142639160156,41.22476577758789,29.01669692993164,190.35858154296875,255.27999877929688
2021-07-30,37.08504104614258,49.08195877075195,42.259979248046875,145.0037078857422,132.20863342285156,115.33737182617188,239.16294860839844,251.42657470703125,53.193397521972656,160.4742431640625,33.93946075439453,23.065568923950195,,768.7066650390625,,52.52610397338867,97.77680969238281,57.29878616333008,157.74563598632812,111.47501373291016,34.55882263183594,104.14097595214844,171.94625854492188,147.50213623046875,236.5800018310547,258.2200012207031,229.61788940429688,168.54605102539062,339.0581970214844,,131.4674835205078,30.094655990600586,89.27537536621094,184.2218780517578,332.11065673828125,11.287138938903809,57.541378021240234,15.049581527709961,112.25667572021484,19.737184524536133,163.31100463867188,133.931640625,15.42043399810791,61.12093734741211,52.69721221923828,374.692138671875,360.4737243652344,49.54963684082031,446.6632995605469,,82.30233764648438,563.8761596679688,114.20958709716797,58.14198684692383,97.17217254638672,51.97178649902344,85.13404846191406,151.82484436035156,78.62564086914062,273.1642761230469,15.677151679992676,80.3445816040039,63.58730697631836,388.97265625,74.38117218017578,42.25425720214844,42.85802459716797,164.04164123535156,135.1310272216797,44.65421676635742,237.34759521484375,40.72829818725586,28.862852096557617,192.71519470214844,247.25999450683594
2021-08-02,37.28472900390625,48.82316589355469,42.27782440185547,144.49832153320312,132.08529663085938,115.08016204833984,239.96153259277344,251.33953857421875,53.50066375732422,159.28855895996094,33.58555603027344,23.23729133605957,,774.105224609375,,52.37160110473633,97.70895385742188,57.392005920410156,159.25074768066406,113.55453491210938,34.25553512573242,105.22762298583984,171.4355926513672,146.04263305664062,235.39999389648438,253.97999572753906,231.3706512451172,168.51870727539062,340.899169921875,,122.70885467529297,29.92050552368164,88.88225555419922,163.62896728515625,335.0429382324219,11.223008155822754,58.26494216918945,15.292866706848145,111.8819351196289,19.769561767578125,163.76132202148438,133.39334106445312,15.326312065124512,60.910030364990234,52.716861724853516,364.3233642578125,363.5606384277344,49.661258697509766,451.20355224609375,,82.5167007446289,578.0307006835938,113.79147338867188,58.67131805419922,96.38858795166016,51.863040924072266,85.02669525146484,151.30047607421875,78.56292724609375,268.6632385253906,15.563138008117676,80.8968505859375,63.39079284667969,393.9900207519531,74.27022552490234,42.101478576660156,42.62967300415039,165.71295166015625,135.1582489013672,44.32457733154297,230.98016357421875,40.59531784057617,28.72873878479004,190.73265075683594,272.3800048828125
2021-08-03,37.408348083496094,49.617393493652344,42.6080436706543,145.21502685546875,131.4874267578125,115.92267608642578,241.30796813964844,255.32322692871094,54.82011032104492,159.07211303710938,34.10756301879883,23.971019744873047,,780.2661743164062,,52.2557373046875,97.68350219726562,58.366458892822266,161.3728485107422,115.2011947631836,35.14080810546875,105.07743072509766,169.2227325439453,147.255859375,230.17999267578125,251.2899932861328,235.95701599121094,167.78030395507812,339.72247314453125,,115.01747131347656,30.550769805908203,88.54666900634766,161.51443481445312,336.96533203125,11.583746910095215,58.979461669921875,14.918207168579102,111.59153747558594,19.83432960510254,164.9433135986328,134.9111328125,15.69495964050293,62.117881774902344,52.648067474365234,356.8865661621094,363.4935302734375,50.05628967285156,451.7682800292969,,82.83395385742188,585.7420043945312,116.24887084960938,58.74604034423828,97.01718139648438,52.69117736816406,86.4312744140625,155.0958709716797,80.09967041015625,271.1517028808594,15.978482246398926,80.3694076538086,63.082000732421875,395.6231689453125,75.13233184814453,42.344120025634766,43.550926208496094,168.46087646484375,136.46490478515625,44.93561553955078,228.388916015625,41.517337799072266,28.618288040161133,199.13031005859375,269.489990234375
2021-08-04,37.48441696166992,49.02841567993164,42.02792739868164,142.9914093017578,129.9689483642578,114.34406280517578,237.30580139160156,250.82708740234375,55.0279541015625,158.14988708496094,33.859840393066406,23.885156631469727,,781.8617553710938,,51.850215911865234,99.03219604492188,58.0614128112793,160.87734985351562,116.12334442138672,34.550628662109375,102.39173889160156,169.00387573242188,147.03692626953125,244.36000061035156,247.60000610351562,234.48573303222656,167.97171020507812,340.4911804199219,,113.57978820800781,30.16099739074707,87.82756042480469,157.58067321777344,334.7506103515625,11.431435585021973,58.32825469970703,15.073909759521484,111.97561645507812,19.445737838745117,162.84197998046875,133.4551544189453,15.396899223327637,63.29697799682617,52.087989807128906,357.2846984863281,366.95452880859375,49.060142517089844,463.24273681640625,,82.56814575195312,590.6146850585938,113.50985717773438,58.96089172363281,95.7427749633789,51.72084045410156,85.30402374267578,153.9972381591797,78.32769012451172,273.1345520019531,15.701582908630371,79.68684387207031,63.32527542114258,398.7532653808594,73.91170501708984,42.38905715942383,42.984004974365234,168.59750366210938,135.6754608154297,44.26829528808594,227.9843292236328,40.91447067260742,28.381608963012695,197.49380493164062,266.4200134277344
2021-08-05,38.026432037353516,49.59062957763672,43.429141998291016,145.90415954589844,131.5538330078125,113.45719146728516,242.9979705810547,253.71815490722656,55.2538948059082,159.62734985351562,34.52341079711914,24.228607177734375,,788.3062133789062,,52.332984924316406,98.14154815673828,59.05284881591797,161.2793426513672,113.85564422607422,35.35393524169922,102.82463836669922,168.80125427246094,148.86135864257812,255.5,260.7900085449219,235.38482666015625,167.1512908935547,340.6809997558594,,114.2413101196289,30.666866302490234,88.80554962158203,162.20974731445312,340.4559020996094,11.551681518554688,59.16035461425781,15.19311809539795,111.8725814819336,19.712894439697266,162.7012939453125,135.14053344726562,15.608673095703125,64.45689392089844,53.080421447753906,361.1000671386719,370.8659973144531,50.52859878540039,461.9250183105469,,83.88868713378906,593.6046752929688,114.66178894042969,58.74916458129883,96.6383285522461,53.2014274597168,85.36664581298828,155.3788604736328,80.03694152832031,278.2601318359375,15.913329124450684,80.95889282226562,64.85063171386719,400.7674255371094,74.679931640625,43.39554214477539,43.73990249633789,170.5580291748047,136.6373291015625,44.871299743652344,231.39442443847656,41.84050369262695,28.66167640686035,203.40396118164062,281.80999755859375
2021-08-06,38.58746337890625,50.18852996826172,45.47297668457031,147.04354858398438,131.97142028808594,116.02023315429688,247.68890380859375,252.86727905273438,55.70576095581055,161.25534057617188,35.523189544677734,24.712549209594727,,794.3428955078125,,52.603336334228516,96.94554138183594,60.22219467163086,163.5697021484375,115.57759094238281,36.0424919128418,105.38662719726562,170.09005737304688,152.5004119873047,258.260009765625,267.04998779296875,238.55442810058594,165.811279296875,343.7177429199219,,118.03406524658203,31.288822174072266,90.25337982177734,167.86756896972656,352.4955139160156,11.800191879272461,60.05576705932617,15.451000213623047,112.4159164428711,20.093387603759766,163.1796875,138.97898864746094,15.945950508117676,64.78282165527344,53.97459030151367,363.6145935058594,369.07330322265625,52.13444900512695,457.19024658203125,,85.51793670654297,595.042724609375,117.73352813720703,58.76161193847656,99.34209442138672,54.255428314208984,86.70861053466797,158.36692810058594,82.13825225830078,277.13983154296875,16.255373001098633,83.07487487792969,67.31177520751953,400.64044189453125,76.82242584228516,44.39303207397461,44.56666946411133,171.94808959960938,138.669921875,45.828060150146484,232.5406951904297,43.42543029785156,28.98119354248047,201.97317504882812,275.1000061035156
