Date,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,BSX,CAH,CI,CNC,COO,COR,CRL,CVS,DGX,DHR,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MOH,MRK,MRNA,MTD,PFE,PODD,REGN,RMD,RVTY,SOLV,STE,SYK,TECH,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,ZBH,ZTS
2021-07-26,145.0109405517578,98.04135131835938,108.44435119628906,635.5800170898438,209.3763885498047,72.98855590820312,175.3524169921875,331.92999267578125,55.154945373535156,43.970001220703125,52.8933219909668,208.3486328125,72.66999816894531,101.368408203125,112.2793960571289,393.2699890136719,70.20504760742188,125.56294250488281,251.04759216308594,119.73999786376953,113.1449966430664,352.26812744140625,108.88999938964844,,57.28177261352539,235.66648864746094,,77.37000274658203,444.5121154785156,685.6699829101562,77.30999755859375,247.2899932861328,322.0333251953125,149.3212432861328,229.48817443847656,232.0019073486328,197.0946502685547,109.50041961669922,257.8299865722656,66.08478546142578,335.8699951171875,1471.56005859375,31.802021026611328,263.6700134277344,573.0470581054688,248.54656982421875,170.06289672851562,,202.34817504882812,250.19488525390625,115.41607666015625,521.7718505859375,150.65687561035156,378.8053283691406,198.92999267578125,11.214483261108398,382.30999755859375,372.8271789550781,148.4345245361328,189.8472900390625
2021-07-27,144.72137451171875,98.18284606933594,108.70747375488281,625.510009765625,209.03463745117188,74.19947052001953,179.05023193359375,333.9599914550781,54.991981506347656,45.5099983215332,53.28791046142578,208.74996948242188,70.47000122070312,102.46554565429688,112.855712890625,392.75,70.85736846923828,126.99658203125,251.41090393066406,120.3499984741211,112.1449966430664,356.1118469238281,109.9000015258789,,57.43174743652344,237.5172119140625,,78.66999816894531,444.69293212890625,686.9500122070312,76.33999633789062,243.17999267578125,325.02667236328125,150.0076446533203,231.14544677734375,232.35487365722656,198.67137145996094,111.33867645263672,260.32000732421875,66.606689453125,328.5,1479.8800048828125,32.02260208129883,266.8500061035156,576.2505493164062,252.8525848388672,168.1360626220703,,205.37828063964844,254.77093505859375,115.77542114257812,522.9156494140625,155.05157470703125,380.23431396484375,202.85000610351562,11.27120304107666,378.5199890136719,373.6864929199219,151.40042114257812,190.83995056152344
2021-07-28,146.17872619628906,98.6739273071289,109.35166931152344,621.8699951171875,208.66734313964844,74.01873016357422,178.19961547851562,334.17999267578125,56.002349853515625,45.43000030517578,53.49418258666992,207.2633056640625,69.7300033569336,103.375244140625,112.79061889648438,399.6199951171875,70.5693359375,127.00569152832031,253.38343811035156,118.83999633789062,114.9800033569336,353.5990295410156,110.05999755859375,,58.37323760986328,235.8295135498047,,79.44000244140625,419.3049621582031,695.5800170898438,78.01000213623047,245.3699951171875,324.1666564941406,149.5906219482422,231.1943817138672,235.1498565673828,198.71029663085938,111.59518432617188,259.1700134277344,67.01736450195312,349.32000732421875,1487.6400146484375,33.04945755004883,272.510009765625,581.6062622070312,254.56541442871094,172.3849334716797,,204.8238983154297,255.08428955078125,116.54792785644531,520.9335327148438,153.8627471923828,374.8023681640625,202.24000549316406,11.530497550964355,386.2200012207031,379.2466125488281,151.14010620117188,192.16339111328125
2021-07-29,147.34657287597656,98.9402847290039,109.86885070800781,676.97998046875,207.13809204101562,69.9251480102539,179.4861297607422,329.1700134277344,55.52976608276367,45.31999969482422,53.79909133911133,208.8137969970703,69.08000183105469,104.18995666503906,114.0641098022461,405.5199890136719,70.36601257324219,128.15802001953125,257.492919921875,119.01000213623047,114.01249694824219,357.69415283203125,111.62000274658203,,58.181617736816406,237.71856689453125,,80.22000122070312,409.7357482910156,704.1599731445312,77.4000015258789,248.7100067138672,327.163330078125,149.5906219482422,240.5584259033203,234.0242156982422,199.74203491210938,111.73196411132812,255.2100067138672,65.81953430175781,345.6400146484375,1511.699951171875,32.84221267700195,273.739990234375,578.353271484375,258.10595703125,177.16732788085938,,207.2040252685547,255.5589599609375,118.10022735595703,526.357177734375,154.90541076660156,377.4679870605469,200.3800048828125,11.579116821289062,391.0199890136719,399.8971862792969,151.3074493408203,192.9669952392578
2021-07-30,147.88702392578125,96.80117797851562,109.76907348632812,695.7999877929688,206.35206604003906,69.8980484008789,179.79542541503906,326.7300109863281,55.30160903930664,45.599998474121094,53.25204086303711,209.3062744140625,68.61000061035156,105.40705108642578,113.56216430664062,406.9200134277344,69.77301025390625,128.6661834716797,257.3717346191406,120.25,128.87750244140625,357.396240234375,112.2699966430664,,56.89849853515625,238.00633239746094,,80.1500015258789,405.08428955078125,678.530029296875,77.3499984741211,247.6999969482422,330.4866638183594,149.60800170898438,241.7748565673828,232.27854919433594,198.3891143798828,112.27064514160156,273.010009765625,65.76821899414062,353.6000061035156,1473.7099609375,32.857574462890625,279.69000244140625,569.9028930664062,260.0868225097656,180.0625,,208.33193969726562,257.22991943359375,117.88754272460938,532.5106201171875,156.3086395263672,377.59619140625,201.5800018310547,11.400851249694824,389.80999755859375,406.6226806640625,151.939697265625,191.62457275390625
2021-08-02,147.73260498046875,96.09369659423828,109.7146224975586,700.0,204.85702514648438,69.77154541015625,180.06260681152344,331.70001220703125,55.423831939697266,45.880001068115234,53.42243194580078,209.1786346435547,70.30999755859375,105.86688995361328,114.08271026611328,405.6000061035156,69.81536102294922,129.79132080078125,256.98248291015625,121.37000274658203,127.8375015258789,363.2411193847656,113.27999877929688,,56.9484977722168,240.6912841796875,,81.2300033569336,408.62286376953125,678.719970703125,78.47000122070312,247.3000030517578,330.8500061035156,149.66880798339844,242.96681213378906,235.23570251464844,198.1360626220703,112.22787475585938,274.25,65.17788696289062,346.6099853515625,1480.1500244140625,33.7402229309082,278.70001220703125,572.40234375,257.0534362792969,181.65335083007812,,208.69517517089844,256.40399169921875,118.74314880371094,526.2685546875,155.5485382080078,380.6648254394531,198.32000732421875,11.530497550964355,388.8500061035156,410.0793151855469,151.55848693847656,191.06683349609375
2021-08-03,148.49505615234375,96.7595443725586,110.80342102050781,701.3400268554688,208.52207946777344,68.93112182617188,179.8095245361328,338.0,56.47494888305664,45.540000915527344,53.47624588012695,213.38314819335938,69.33000183105469,105.95936584472656,114.99364471435547,411.239990234375,71.16236114501953,131.89645385742188,261.55908203125,123.1500015258789,130.30499267578125,367.8945007324219,114.69999694824219,,58.181617736816406,243.0981903076172,,80.37000274658203,404.7323303222656,695.6699829101562,77.94999694824219,249.97999572753906,333.2033386230469,151.5106964111328,244.9832763671875,244.19296264648438,200.9099578857422,112.39888763427734,277.45001220703125,65.37467193603516,386.510009765625,1496.719970703125,35.06035614013672,278.8599853515625,581.7055053710938,261.3213195800781,182.86871337890625,,209.2782745361328,254.44818115234375,117.65042114257812,529.5325317382812,156.51321411132812,386.4631042480469,200.0500030517578,11.498085021972656,391.75,416.9529724121094,142.91183471679688,192.94808959960938
2021-08-04,148.8907470703125,95.78571319580078,110.30437469482422,708.010009765625,195.04945373535156,67.91000366210938,179.08531188964844,338.1000061035156,55.806800842285156,44.2599983215332,52.8933219909668,211.1212921142578,69.08999633789062,103.49769592285156,116.70401000976562,416.30999755859375,69.08678436279297,133.1214141845703,264.4053955078125,133.77999877929688,128.63250732421875,368.1737060546875,114.45999908447266,,57.690032958984375,238.0638427734375,,77.30000305175781,405.4172058105469,698.47998046875,77.33999633789062,249.86000061035156,330.2933349609375,150.61582946777344,244.9832763671875,250.3743438720703,199.88800048828125,109.7654800415039,278.7900085449219,64.57896423339844,419.04998779296875,1515.260009765625,34.684261322021484,279.17999267578125,576.1910400390625,261.4169616699219,184.62754821777344,,206.91725158691406,249.29287719726562,118.99005889892578,531.396240234375,150.4912567138672,386.1333312988281,199.58999633789062,11.149658203125,394.25,422.82916259765625,137.8167724609375,193.6003875732422
2021-08-05,149.6339111328125,95.81900024414062,110.88506317138672,699.219970703125,199.9019775390625,67.28646850585938,170.88827514648438,336.5899963378906,55.7497673034668,44.650001525878906,45.351226806640625,188.07379150390625,67.2300033569336,102.8904037475586,113.3018569946289,409.9700012207031,67.8160400390625,133.65673828125,265.72039794921875,130.1300048828125,130.9824981689453,350.57427978515625,114.77999877929688,,57.74003219604492,238.8310089111328,,76.7300033569336,395.6101989746094,705.760009765625,76.91999816894531,248.41000366210938,339.70001220703125,150.90249633789062,244.02813720703125,252.01502990722656,194.3401641845703,109.45767974853516,268.6400146484375,64.67308807373047,416.260009765625,1527.56005859375,34.584495544433594,280.45001220703125,597.5347290039062,255.85736083984375,184.8251495361328,,206.01873779296875,251.12527465820312,119.94343566894531,534.8179931640625,148.6300506591797,376.6527099609375,202.99000549316406,11.287408828735352,397.3399963378906,420.3799743652344,139.62049865722656,192.7022705078125
2021-08-06,150.2708740234375,95.26132202148438,110.84877014160156,693.6699829101562,196.6214141845703,67.62081146240234,169.45413208007812,340.0,55.505313873291016,44.70000076293945,45.727882385253906,190.89202880859375,66.80000305175781,103.21527862548828,112.13996124267578,408.4100036621094,68.83263397216797,133.0216064453125,265.841552734375,133.1699981689453,129.16000366210938,353.15234375,115.20999908447266,,57.30677032470703,239.84742736816406,,77.02999877929688,398.7586364746094,685.2000122070312,76.30000305175781,248.9600067138672,343.3399963378906,150.39862060546875,243.48928833007812,251.29966735839844,194.59323120117188,109.98775482177734,265.05999755859375,64.54473876953125,413.7200012207031,1521.68994140625,34.59217834472656,275.510009765625,605.8560180664062,262.85235595703125,183.2244110107422,,206.7451629638672,249.27392578125,117.78486633300781,530.7257690429688,148.8639678955078,380.2525634765625,200.6699981689453,11.546704292297363,395.4700012207031,422.1872253417969,138.53268432617188,190.849365234375
