Date,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,BSX,CAH,CI,CNC,COO,COR,CRL,CVS,DGX,DHR,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MOH,MRK,MRNA,MTD,PFE,PODD,REGN,RMD,RVTY,SOLV,STE,SYK,TECH,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,ZBH,ZTS
2021-07-26,3.79,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,11.989999999999998,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,4.43,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-07-27,3.79,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,11.989999999999998,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,4.43,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-07-28,3.79,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,11.989999999999998,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,4.43,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-07-29,3.79,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,11.989999999999998,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,4.43,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-07-30,3.79,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,11.989999999999998,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,4.43,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-08-02,4.109999999999999,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,13.120000000000001,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,5.22,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-08-03,4.109999999999999,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,13.120000000000001,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,5.22,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-08-04,4.109999999999999,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,13.120000000000001,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,5.22,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-08-05,4.109999999999999,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,13.120000000000001,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,5.22,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
2021-08-06,4.109999999999999,11.79,4.92,10.39,16.259999999999998,3.1899999999999995,13.12,24.439999999999998,6.76,1.37,6.08,17.89,4.6,13.120000000000001,,9.86,7.42,15.729999999999999,8.780000000000001,8.2,0.74,20.78,2.19,,8.25,14.559999999999999,8.85,4.380000000000001,15.34,8.39,2.63,8.05,4.59,9.13,33.89,8.030000000000001,20.009999999999998,5.22,10.69,5.77,8.02,30.939999999999998,3.1399999999999997,0.5800000000000001,53.58,5.33,,,6.6,9.129999999999999,1.69,25.53,12.67,16.04,11.24,4.29,10.700000000000001,7.0,7.529999999999999,4.460000000000001
