sector,symbol_a,security_a,symbol_b,security_b,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Health Care,DHR,Danaher Corporation,LH,Labcorp,1255,0.824400945572481,5.267185805394e-312,0.5630475075246136,0.5306678601135962,0.595427154935631,1.7560158256906384
Health Care,ALGN,Align Technology,WST,West Pharmaceutical Services,1255,0.8240218215985091,1.786646902038e-311,-0.09712076895648158,-0.11069651150031708,-0.08354502641264609,0.907446408159613
Health Care,HSIC,Henry Schein,MDT,Medtronic,1255,0.8229647364903867,5.3011476086242e-310,0.018989318769156178,0.007832924854667396,0.030145712683644958,1.0191707625610857
Health Care,MCK,McKesson Corporation,SYK,Stryker Corporation,1255,0.8223864272149163,3.355061989506934e-309,-0.6249299804670987,-0.639250314819841,-0.6106096461143564,0.5352989085863483
Health Care,GILD,Gilead Sciences,SOLV,Solventum,584,0.9538472209933283,2.954478130766231e-306,0.9777171399184603,0.877133756059537,1.0783005237773837,2.6583805986959868
Health Care,AMGN,Amgen,DHR,Danaher Corporation,1255,0.8162242376832475,7.711595377899263e-301,-0.4732362948684229,-0.4925291757764907,-0.4539434139603551,0.6229828461344248
Health Care,BSX,Boston Scientific,ISRG,Intuitive Surgical,1255,0.8155188039494833,6.671672712710822e-300,-0.46834115844220925,-0.49146899773483493,-0.44521331914958356,0.6260399084213893
Health Care,LH,Labcorp,MDT,Medtronic,1255,0.8143435506853048,2.3796740170258894e-298,-0.11954930076035847,-0.15442079373524292,-0.08467780778547401,0.8873202611771305
Health Care,BSX,Boston Scientific,SYK,Stryker Corporation,1255,0.8132247723901704,6.981848830326878e-297,0.161041945831213,0.14000474185132414,0.18207914981110188,1.1747342429847176
Health Care,AMGN,Amgen,HSIC,Henry Schein,1255,0.8129734560909463,1.486791378088393e-296,-0.04872740687332396,-0.07262511486766322,-0.0248296988789847,0.9524407231098937
Health Care,AMGN,Amgen,LH,Labcorp,1255,0.8127717044290292,2.725379298618061e-296,0.08981121265619071,0.0665189350828812,0.11310349022950023,1.0939677369458458
Health Care,DGX,Quest Diagnostics,RMD,ResMed,1255,-0.8101559161188991,6.591059278184513e-293,-0.7126204089159448,-0.7522917417284067,-0.6729490761034829,0.49035757509704336
Health Care,CI,Cigna,LH,Labcorp,1255,0.8086576914828599,5.4112722547997414e-291,-0.1952001170151819,-0.22752520915110838,-0.1628750248792554,0.8226700113151166
Health Care,ABBV,AbbVie,TECH,Bio-Techne,1255,0.807321642102223,2.668026436876592e-289,-0.7765821600242386,-0.8367493357890584,-0.7164149842594189,0.4599754502135119
Health Care,CNC,Centene Corporation,MOH,Molina Healthcare,1050,0.8438300086573638,1.40640202310763e-285,-0.3950279782380932,-0.4058320850399381,-0.3842238714362483,0.6736611911320006
Health Care,LLY,Lilly (Eli),TMO,Thermo Fisher Scientific,1255,0.8043160359178055,1.536272670291555e-285,0.6852016890408109,0.660176802393391,0.7102265756882308,1.9841719809269707
Health Care,BMY,Bristol Myers Squibb,DXCM,Dexcom,1005,-0.8528955370704877,2.30001637600223e-285,-2.159678823161316,-2.23817517995323,-2.081182466369402,0.1153621667446514
Health Care,DGX,Quest Diagnostics,VRTX,Vertex Pharmaceuticals,1006,0.8526341146586506,2.727224453174156e-285,-0.511610794367207,-0.5266666677469688,-0.49655492098744525,0.5995290825387364
Health Care,INCY,Incyte,SOLV,Solventum,584,0.9450141539640726,1.0797045061742437e-284,0.801605291109655,0.7122195151962015,0.8909910670231084,2.229116438658662
Health Care,BMY,Bristol Myers Squibb,DHR,Danaher Corporation,1005,0.8520969748667513,2.801433147343184e-284,-1.021332797041048,-1.0375390840119678,-1.005126510070128,0.3601146604326026
Health Care,BSX,Boston Scientific,LH,Labcorp,1255,0.802489440011332,2.7532642496333985e-283,0.8195187643493054,0.7903891875404833,0.8486483411581275,2.269407454933496
Health Care,LH,Labcorp,STE,Steris,1255,0.8007485811192135,3.677350312218515e-281,-0.6104907011546787,-0.645684710236424,-0.5752966920729334,0.5430843115810328
Health Care,LH,Labcorp,LLY,Lilly (Eli),1255,0.8003280379118816,1.190900958860149e-280,-1.103683841213463,-1.134031513495632,-1.0733361689312941,0.33164709535473097
Health Care,LH,Labcorp,VRTX,Vertex Pharmaceuticals,1006,0.8482457328910485,2.0815575845598216e-279,-0.44030520572688076,-0.47745870882698255,-0.40315170262677896,0.6438398874722244
