symbol_a,symbol_b,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,mean_log_rel_pe,spread_sd,score,security_a,security_b,corr_z,adf_z,hl_z,exc_z,rev_z
DHR,MDT,1255,0.9316416545770774,-4.666528620794221,21.9268567878501,10,1.0,0.44349820676425505,0.11218609451556201,1.6565464809034012,Danaher Corporation,Medtronic,1.5478966319735334,3.447928591025483,-1.384231699869827,4.046944556859572,0.0
ALGN,WST,1255,0.8240218215985093,-3.4299587365937234,36.038587625164034,10,0.9,-0.09712076895648158,0.1864261749650101,1.0525033015037006,Align Technology,West Pharmaceutical Services,0.4285311561410934,1.1841218175006953,0.4842000087116246,4.046944556859572,-0.759681849850617
HSIC,MDT,1255,0.8229647364903871,-3.661345182904157,35.90957285873884,8,1.0,0.018989318769156185,0.1532029527788504,1.0260292833920794,Henry Schein,Medtronic,0.4175363000602052,1.6077244065270813,0.47071418028145257,2.697963037906381,0.0
MCK,VRTX,1006,0.9154532769879725,-2.860062095443546,47.06519198868769,6,1.0,-0.3290319278529061,0.14666298318724758,0.8815113306175071,McKesson Corporation,Vertex Pharmaceuticals,1.3795195728250378,0.14080360885862395,1.150536643561806,1.3489815189531904,0.0
AMGN,BMY,1005,0.9616843780397892,-3.8979374499142465,22.790579237517626,3,1.0,0.44788784866368436,0.09482140963768258,0.7193628552788115,Amgen,Bristol Myers Squibb,1.860374234971095,2.040857368492524,-1.2389507170707936,-0.6744907594765952,0.0
HUM,WAT,1255,0.6783887141861003,-4.108390126736698,25.366488524451537,10,0.9,-0.38496781220185844,0.18511498700842044,0.6444858361885247,Humana,Waters Corporation,-1.086214481943219,2.4261361961465866,-0.8362868340451513,4.046944556859572,-0.759681849850617
MDT,SYK,1255,0.7828212910785555,-3.3808852123765765,46.68822459014192,4,1.0,-0.538927517757734,0.16647005941408902,0.5097258024040374,Medtronic,Stryker Corporation,0.0,1.0942821910121876,1.1807762732549527,0.0,0.0
BMY,GILD,1005,0.948434117238626,-2.5121383911332043,63.96823810715526,5,1.0,-0.169003166980048,0.16757029646898092,0.493237151736409,Bristol Myers Squibb,Gilead Sciences,1.7225568450337618,-0.4961454617528033,-0.003335751285039835,0.6744907594765952,0.0
MCK,SYK,1255,0.8223864272149163,-3.1575204181862935,49.132840578240355,4,1.0,-0.6249299804670987,0.19665113337126647,0.49257053699571185,McKesson Corporation,Stryker Corporation,0.4115212429894079,0.6853649591471538,0.9888646215605051,0.0,0.0
MCK,MDT,1255,0.7802504850608928,-3.6447578559256213,50.864329651808355,3,1.0,-0.08600246270936493,0.23943188086633177,0.456869666114015,McKesson Corporation,Medtronic,-0.026739230322044512,1.577357741732428,0.858628068495053,-0.6744907594765952,0.0
HSIC,VRTX,1006,0.7896918456109471,-2.665152717443366,51.4726070220384,7,1.0,-0.1935688453235933,0.14220384949144896,0.43373940109289255,Henry Schein,Vertex Pharmaceuticals,0.07146137780119778,-0.21601987178565202,0.8139255696723917,2.023472278429786,0.0
IDXX,MTD,1255,0.7859942784084156,-3.2711326293215603,40.81673519456413,4,1.0,0.38895402644879123,0.12195488327220702,0.4237138941549451,Idexx Laboratories,Mettler Toledo,0.03300258301837846,0.8933565141812109,0.9523699535206441,0.0,0.0
TMO,VRTX,1006,0.7741101116260675,-3.1726683951393784,34.50678395360003,6,1.0,0.11441223105344489,0.13720047132597724,0.4176140277180974,Thermo Fisher Scientific,Vertex Pharmaceuticals,-0.09060591587089596,0.7130965845649623,0.32087214247573514,1.3489815189531904,0.0
BMY,MCK,1005,0.8932365173090202,-3.3458190397718273,31.62442136948196,4,0.75,-0.4866298732381057,0.1695872501368224,0.4107075205266398,Bristol Myers Squibb,McKesson Corporation,1.148440662170736,1.0300860302626107,-0.007128616137896404,0.0,-1.899204624626543
SYK,VRTX,1006,0.8460771669058799,-2.839095688129276,44.017637397251704,3,1.0,0.31941116247406914,0.14611479235525704,0.3690646003211863,Stryker Corporation,Vertex Pharmaceuticals,0.6579311785286962,0.10242009693506486,1.2362691822515026,-0.6744907594765952,0.0
CNC,MOH,1050,0.8438300086573637,-2.927063011767496,37.856896044591416,5,0.8,-0.39502797823809316,0.13566742325494238,0.3393295199004379,Centene Corporation,Molina Healthcare,0.6345582435175255,0.2634631771891204,0.6692950429826712,0.6744907594765952,-1.519363699701234
DGX,MCK,1255,0.8515579628996122,-2.9189060201885195,47.0412674416474,4,0.75,-0.19014161625468454,0.16654487881254107,0.3171830322730948,Quest Diagnostics,McKesson Corporation,0.7149375280617459,0.24853005207908238,1.152448616487274,0.0,-1.899204624626543
MDT,STE,1255,0.7636891956644692,-3.159902894351244,43.00491401391599,5,0.8,-0.49094140039432027,0.185034047807807,0.2917190738832225,Medtronic,Steris,-0.19899498534926294,0.6897265934946241,1.1487433858148977,0.6744907594765952,-1.519363699701234
ABT,BIIB,1255,0.689632941673127,-3.139379421968858,44.34064972235455,5,1.0,0.32045175536298287,0.23597584351235257,0.22618603901550471,Abbott Laboratories,Biogen,-0.9692620606001149,0.652153969101031,1.263762754993961,0.6744907594765952,0.0
HSIC,TMO,1255,0.7271720552698283,-2.9817777477277256,49.24381414530582,6,0.8333333333333334,-0.27994353264313754,0.1357396204209325,0.18907322570354906,Henry Schein,Thermo Fisher Scientific,-0.5788136962928817,0.36363025343849253,0.980380925152907,1.3489815189531904,-1.2661364164176951
DHR,MCK,1255,0.8408400897749606,-2.971915946829489,62.71433447815368,3,1.0,0.52950066947362,0.21702285542637811,0.1804796255260137,Danaher Corporation,McKesson Corporation,0.6034597751416453,0.3455761086967944,0.07110639865405378,-0.6744907594765952,0.0
LLY,REGN,1255,0.9083122748999053,-2.403210185255621,74.67363048891004,6,0.8333333333333334,1.1922257662597424,0.2312478225581113,0.17637417449844023,Lilly (Eli),Regeneron Pharmaceuticals,1.3052452408641095,-0.6955619390940813,-0.5852124959424065,1.3489815189531904,-1.2661364164176951
CI,STE,1255,0.8812380676495024,-2.4566935457142725,74.22996552700891,5,1.0,-0.8056908181698607,0.18885688535852876,0.14629353063870526,Cigna,Steris,1.0236434947652413,-0.5976491601851527,-0.5628042083303411,0.6744907594765952,0.0
BMY,DGX,1005,0.890702989019302,-2.526314591976256,63.91151787581965,3,1.0,-0.3252177936128107,0.1940397783475868,0.11790491422472398,Bristol Myers Squibb,Quest Diagnostics,1.122089161512673,-0.47019288123035435,0.0,-0.6744907594765952,0.0
