Date,ABNB,AMZN,APTV,AZO,BBY,BKNG,CCL,CMG,CZR,DASH,DECK,DHI,DPZ,DRI,EBAY,EXPE,F,GM,GPC,GRMN,HAS,HD,HLT,KMX,LEN,LKQ,LOW,LULU,LVS,MAR,MCD,MGM,MHK,NCLH,NKE,NVR,ORLY,PHM,POOL,RCL,RL,ROST,SBUX,TJX,TPR,TSCO,TSLA,ULTA,WSM,WYNN,YUM
2021-07-26,,2.87,3.92,90.41,9.48,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,13.709999999999999,0.54,7.11,9.379999999999999,3.51,10.27,5.59,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,3.09,2.75,1.47,2.9800000000000004,8.0,1.31,9.850000000000001,11.24,-13.02,4.390000000000001
2021-07-27,,2.87,3.92,90.41,9.48,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,13.709999999999999,0.54,7.11,9.379999999999999,3.51,10.27,5.59,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,3.09,2.75,1.47,2.9800000000000004,8.0,1.31,9.850000000000001,11.24,-13.02,4.390000000000001
2021-07-28,,2.87,3.92,90.41,9.48,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,13.709999999999999,0.54,7.11,9.379999999999999,3.51,10.27,5.59,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,3.09,2.75,1.47,2.9800000000000004,8.0,1.31,9.850000000000001,11.24,-13.02,4.390000000000001
2021-07-29,,2.87,3.92,90.41,9.48,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,13.709999999999999,0.54,7.11,9.379999999999999,3.51,10.27,5.59,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,3.09,2.75,1.47,2.9800000000000004,8.0,1.31,9.850000000000001,11.24,-13.02,4.390000000000001
2021-07-30,,2.87,3.92,90.41,9.48,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,13.709999999999999,0.54,7.11,9.379999999999999,3.51,10.27,5.59,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,3.09,2.75,1.47,2.9800000000000004,8.0,1.31,9.850000000000001,11.24,-13.02,4.390000000000001
2021-08-02,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-03,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-04,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-05,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-06,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-09,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-10,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-11,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-12,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-13,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-16,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-17,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-18,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
2021-08-19,,2.87,3.92,90.41,10.75,3.8899999999999997,-7.8,20.060000000000002,-10.219999999999999,,15.46,10.02,12.46,4.3100000000000005,3.79,-6.010000000000001,1.0100000000000002,5.6499999999999995,6.390000000000001,6.17,5.2,14.219999999999999,0.54,7.11,9.379999999999999,3.51,10.77,6.550000000000001,-1.55,1.07,8.21,-2.82,14.739999999999998,-8.639999999999999,3.56,287.70000000000005,27.86,5.96,13.16,-20.14,5.779999999999999,4.42,2.75,2.44,2.9800000000000004,8.0,1.31,13.68,12.68,-13.02,4.390000000000001
