symbol_a,symbol_b,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,spread_sd,score,mean_log_rel_pe,subindustry,security_a,security_b,corr_z,adf_z,hl_z,exc_z,rev_z
DHI,LEN,1255,0.9696694729047683,-4.3144318651029785,24.078711290166623,15,1.0,0.08093061462301841,0.3051467860655397,0.028140487567598186,Homebuilding,D. R. Horton,Lennar,0.5358614458511837,0.7037392519112148,-0.4106663381418187,0.3372453797382976,0.0
ABNB,EXPE,1144,0.9560355355956068,-3.367128762411987,54.327680531076886,3,1.0,0.7129118773592527,0.19040799493691735,0.6540300650775523,"Hotels, Resorts & Cruise Lines",Airbnb,Expedia Group,0.0,0.0,1.4579080442920331,-0.6744907594765952,0.0
LEN,PHM,1255,0.9584227282821115,-3.984903014668508,26.505751341261266,12,0.9166666666666666,0.08531680798991635,-0.05592714921168562,0.1285247232751757,Homebuilding,Lennar,PulteGroup,0.09382502614678916,0.45893652084324416,0.0,0.0843113449345744,-2.1145548900671955
HLT,MAR,1255,0.9793746712001132,-2.2922625467668807,90.68189889430427,3,1.0,0.1638112915326294,-0.17219282120290275,0.350434945418316,"Hotels, Resorts & Cruise Lines",Hilton Worldwide,Marriott International,0.9173097005179636,-0.7985042425744806,-0.7329302839659119,-0.6744907594765952,0.0
HD,LOW,1255,0.9388744488977098,-2.45919704273978,65.2505644187702,11,0.9090909090909091,0.05722156346354278,-0.466750481096866,0.20538037504623305,Home Improvement Retail,Home Depot (The),Lowe's,-0.6744907594765952,-0.6744907594765952,0.6744907594765952,0.0,-2.3067871528005766
MCD,YUM,1255,0.7855318112596961,-4.45730918443824,22.609677900070682,21,1.0,0.04976894510399031,-1.817452277736339,-0.05505793155457413,Restaurants,McDonald's,Yum! Brands,-6.701393014639864,0.8098809688954096,-0.679858164850471,0.8431134493457441,0.0
EXPE,MAR,1144,0.7900857541904566,-3.0875624809488964,65.44040208538767,3,1.0,0.3757006074546649,-1.9774037806756817,-0.24063810025949872,"Hotels, Resorts & Cruise Lines",Expedia Group,Marriott International,-6.522407121726793,-0.20768618324753055,0.6620675778786403,-0.6744907594765952,0.0
