sector,symbol_a,security_a,symbol_b,security_b,subindustry,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Consumer Discretionary,BKNG,Booking Holdings,HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines",1255,0.44529153589163256,3.728491938648708e-62,-3.1542160070126934,-3.22100358348618,-3.087428430539207,0.04267184230718637
Consumer Discretionary,LULU,Lululemon Athletica,NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods",1255,0.42970475500800687,1.5015232782945031e-57,-0.04597173263884136,-0.08358775526080342,-0.008355710016879299,0.9550689590883452
Consumer Discretionary,EXPE,Expedia Group,RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines",769,-0.5189372195555764,3.0737123607081544e-54,-0.12196366982983001,-0.1859992664827619,-0.057928073176898104,0.8851805266776329
Consumer Discretionary,DRI,Darden Restaurants,SBUX,Starbucks,Restaurants,1255,0.4125792123628761,9.235686580214504e-53,-0.5394762623972539,-0.5632231497563962,-0.5157293750381116,0.5830535394848839
Consumer Discretionary,CMG,Chipotle Mexican Grill,DPZ,Domino's,Restaurants,1255,-0.3951373668815563,3.6708685831590303e-48,-1.795612356931875,-1.9251835217610593,-1.6660411921026905,0.16602575419077706
Consumer Discretionary,F,Ford Motor Company,GM,General Motors,Automobile Manufacturers,1114,0.38979152535082423,9.811089466224765e-42,0.281158729677552,0.2566198438546078,0.30569761550049623,1.3246638507145028
Consumer Discretionary,CCL,Carnival,MAR,Marriott International,"Hotels, Resorts & Cruise Lines",602,-0.5045983329356367,3.31942409718084e-40,-0.5257454451673415,-0.5811389679772155,-0.47035192235746737,0.5911145565986559
Consumer Discretionary,SBUX,Starbucks,YUM,Yum! Brands,Restaurants,1255,0.3604815690576133,8.300542709351706e-40,0.2177838324600477,0.1923771747800197,0.2431904901400757,1.243318273515265
Consumer Discretionary,CMG,Chipotle Mexican Grill,SBUX,Starbucks,Restaurants,1255,0.3439144553937564,3.6681076456771466e-36,-1.9809870547960278,-2.092620376391517,-1.8693537332005383,0.1379330226447502
Consumer Discretionary,EXPE,Expedia Group,NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",642,-0.4371602083905046,2.3989156688065942e-31,0.14720830473174992,0.09814195481132951,0.19627465465217034,1.1585952787741287
Consumer Discretionary,ABNB,Airbnb,CCL,Carnival,"Hotels, Resorts & Cruise Lines",602,-0.4413657093321399,4.320014777499358e-30,0.5406685770336408,0.4780702806597369,0.6032668734075447,1.7171545285714294
Consumer Discretionary,GPC,Genuine Parts Company,POOL,Pool Corporation,Distributors,1255,-0.3010797899897248,1.0377549705502807e-27,-0.02966244818794227,-0.10113681148725637,0.041811915111371833,0.9707731644899589
Consumer Discretionary,ABNB,Airbnb,RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines",769,0.33653151519048163,8.112772292347318e-22,0.18830704152153022,0.13582029062276366,0.24079379242029678,1.2072041202410253
Consumer Discretionary,MCD,McDonald's,SBUX,Starbucks,Restaurants,1255,0.26627753648125213,8.187687460091847e-22,-0.27284176401462185,-0.29904094919479574,-0.24664257883444796,0.7612132294250108
Consumer Discretionary,NKE,"Nike, Inc.",TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods",1255,0.25760231783225074,1.7985343173786314e-20,0.5740566534976054,0.5146622657700406,0.6334510412251702,1.775454867535147
Consumer Discretionary,LKQ,LKQ Corporation,POOL,Pool Corporation,Distributors,1255,0.24717448094998226,6.340296926185139e-19,-0.6422617908938427,-0.6587273394452062,-0.6257962423424792,0.5261011465580908
Consumer Discretionary,MAR,Marriott International,NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",642,-0.3289519825193627,1.1488535888219177e-17,0.43871762786712526,0.3899790711427021,0.48745618459154844,1.5507173461948986
Consumer Discretionary,CMG,Chipotle Mexican Grill,DRI,Darden Restaurants,Restaurants,1255,0.23262960168510383,6.960491588109296e-17,-1.4415107923987738,-1.5616174792735413,-1.3214041055240062,0.23657008028218343
Consumer Discretionary,DPZ,Domino's,DRI,Darden Restaurants,Restaurants,1255,0.22747603081525067,3.414435173509131e-16,0.3541015645331013,0.339141850926806,0.36906127813939665,1.424899898423863
Consumer Discretionary,BKNG,Booking Holdings,CCL,Carnival,"Hotels, Resorts & Cruise Lines",602,-0.3240692252971467,3.4671635186365786e-16,-1.9223133139477329,-2.081343186698476,-1.7632834411969895,0.14626820617552566
Consumer Discretionary,KMX,CarMax,ORLY,O’Reilly Automotive,Automotive Retail,1255,-0.22418660864681617,9.23476065726687e-16,1.8701005538997835,1.7749685860855051,1.9652325217140618,6.488948855595574
Consumer Discretionary,HLT,Hilton Worldwide,NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",642,-0.3082812444121499,1.3345274651609299e-15,0.8431560345097189,0.7976095372518246,0.8887025317676132,2.323689059191706
Consumer Discretionary,CMG,Chipotle Mexican Grill,MCD,McDonald's,Restaurants,1255,0.21937423333398917,3.849486527188929e-15,-1.7081452907814059,-1.830631483484359,-1.5856590980784528,0.181201557346736
Consumer Discretionary,ABNB,Airbnb,NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",642,-0.302520626655594,4.705049694502854e-15,0.4435413760237785,0.386852930133885,0.500229821913672,1.5582156866484491
Consumer Discretionary,MAR,Marriott International,RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines",769,-0.24858045027717424,2.7065709483544045e-12,0.16573150477675408,0.10692068736767424,0.22454232218583392,1.1802561660345339
Consumer Discretionary,GPC,Genuine Parts Company,LKQ,LKQ Corporation,Distributors,1255,0.19127035795632444,8.352807810926322e-12,0.6125993427059003,0.549352394971949,0.6758462904398517,1.8452215336177156
Consumer Discretionary,CMG,Chipotle Mexican Grill,YUM,Yum! Brands,Restaurants,1255,0.15987387398124717,1.2358105426868993e-08,-1.7632032223359801,-1.8855412053476555,-1.6408652393243048,0.17149464757541275
Consumer Discretionary,CCL,Carnival,EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines",602,-0.20487055179188296,3.9767657188149443e-07,-0.2454953818347952,-0.2937848163392204,-0.19720594733037,0.7823168966548391
Consumer Discretionary,BKNG,Booking Holdings,RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines",769,-0.18126629694390062,4.1822403351897943e-07,-2.4511022219611456,-2.586993448669094,-2.315210995253197,0.08619852421271912
Consumer Discretionary,CCL,Carnival,HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines",602,-0.18301067372916954,6.207898393548297e-06,-0.9387748937457082,-0.9855344947478777,-0.8920152927435387,0.39110668922626135
Consumer Discretionary,DPZ,Domino's,MCD,McDonald's,Restaurants,1255,0.12180550678231009,1.5122280292916622e-05,0.08746706615046919,0.07505671311612658,0.0998774191848118,1.0914063196395467
Consumer Discretionary,AZO,AutoZone,KMX,CarMax,Automotive Retail,1255,-0.10298014971186312,0.0002579284321684867,-0.01921732492335261,-0.044457076810544796,0.0060224269638395715,0.9809661506820436
Consumer Discretionary,MGM,MGM Resorts,WYNN,Wynn Resorts,Casinos & Gaming,705,-0.11680696796516557,0.001892675610450404,-0.08567883750643578,-0.19756430833248018,0.02620663331960861,0.9178889753993841
