rank,symbol_a,symbol_b,compat_label,event_risk,n_trades,total_return,avg_hold_days,hit_rate,avg_trade_return,max_drawdown
1,DHI,LEN,same_subindustry,high,12,0.14366485144388974,30.833333333333332,0.75,0.011972070953657479,-0.06615880945476799
2,ABNB,EXPE,same_subindustry,high,2,-0.25222397403505875,108.5,0.0,-0.12611198701752938,-0.29055512696253744
3,LEN,PHM,same_subindustry,high,12,0.3221560827233649,33.083333333333336,1.0,0.026846340226947072,-0.04651867504914575
4,HLT,MAR,same_subindustry,high,4,-0.03755839017807189,145.75,0.25,-0.009389597544517972,-0.09952632326342331
5,HD,LOW,same_subindustry,medium,16,0.1308890030498212,37.5625,0.875,0.008180562690613825,-0.07325692449251991
6,MCD,YUM,same_subindustry,high,30,0.37933261382113526,15.266666666666667,0.8333333333333334,0.01264442046070451,-0.056760220241936776
7,EXPE,MAR,same_subindustry,high,2,0.059864884627495896,81.0,0.5,0.029932442313747948,-0.10305559180575719
